seed,update,parameter_id,shape,m,n,aspect_ratio,min_dim,rank,factor_precision,side_info_bits,side_info_over_residual
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,bf16_uv_fp32_sigma,45120,0.0286865234375
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,fp16_uv_fp32_sigma,45120,0.0286865234375
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,fp32,180352,0.11466471354166667
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,bf16,90176,0.057332356770833336
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,fp16,90176,0.057332356770833336
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,bf16_uv_fp32_sigma,90240,0.057373046875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,fp16_uv_fp32_sigma,90240,0.057373046875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,fp32,360704,0.22932942708333334
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,bf16,180352,0.11466471354166667
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,fp16,180352,0.11466471354166667
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,bf16_uv_fp32_sigma,180480,0.11474609375
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,fp16_uv_fp32_sigma,180480,0.11474609375
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,fp32,721408,0.4586588541666667
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,bf16,360704,0.22932942708333334
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,fp16,360704,0.22932942708333334
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,bf16_uv_fp32_sigma,360960,0.2294921875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,fp16_uv_fp32_sigma,360960,0.2294921875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp32,45088,0.028666178385416668
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,bf16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,bf16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,fp32,180352,0.11466471354166667
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,bf16,90176,0.057332356770833336
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,fp16,90176,0.057332356770833336
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,bf16_uv_fp32_sigma,90240,0.057373046875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,fp16_uv_fp32_sigma,90240,0.057373046875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,28,fp32,1262464,0.8026529947916666
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,28,bf16,631232,0.4013264973958333
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,28,fp16,631232,0.4013264973958333
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,28,bf16_uv_fp32_sigma,631680,0.401611328125
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,28,fp16_uv_fp32_sigma,631680,0.401611328125
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,fp32,5185120,3.2966105143229165
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,bf16,2592560,1.6483052571614583
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,fp16,2592560,1.6483052571614583
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,bf16_uv_fp32_sigma,2594400,1.64947509765625
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,fp16_uv_fp32_sigma,2594400,1.64947509765625
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp32,45088,0.028666178385416668
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,bf16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,bf16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,fp32,90176,0.057332356770833336
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,bf16,45088,0.028666178385416668
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,fp16,45088,0.028666178385416668
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,bf16_uv_fp32_sigma,45120,0.0286865234375
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,fp16_uv_fp32_sigma,45120,0.0286865234375
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,fp32,180352,0.11466471354166667
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,bf16,90176,0.057332356770833336
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,fp16,90176,0.057332356770833336
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,bf16_uv_fp32_sigma,90240,0.057373046875
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,4,fp16_uv_fp32_sigma,90240,0.057373046875
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,fp32,360704,0.22932942708333334
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,bf16,180352,0.11466471354166667
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,fp16,180352,0.11466471354166667
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,bf16_uv_fp32_sigma,180480,0.11474609375
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,8,fp16_uv_fp32_sigma,180480,0.11474609375
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,fp32,721408,0.4586588541666667
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,bf16,360704,0.22932942708333334
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,fp16,360704,0.22932942708333334
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,bf16_uv_fp32_sigma,360960,0.2294921875
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,16,fp16_uv_fp32_sigma,360960,0.2294921875
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp32,45088,0.028666178385416668
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,bf16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,bf16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,5,fp32,225440,0.14333089192708334
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,5,bf16,112720,0.07166544596354167
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,5,fp16,112720,0.07166544596354167
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,5,bf16_uv_fp32_sigma,112800,0.07171630859375
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,5,fp16_uv_fp32_sigma,112800,0.07171630859375
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,29,fp32,1307552,0.8313191731770834
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,29,bf16,653776,0.4156595865885417
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,29,fp16,653776,0.4156595865885417
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,29,bf16_uv_fp32_sigma,654240,0.41595458984375
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,29,fp16_uv_fp32_sigma,654240,0.41595458984375
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,fp32,5185120,3.2966105143229165
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,bf16,2592560,1.6483052571614583
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,fp16,2592560,1.6483052571614583
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,bf16_uv_fp32_sigma,2594400,1.64947509765625
0,128,transformer.h.0.mlp.w2.weight,"[1024, 384]",1024,384,2.6666666666666665,384,115,fp16_uv_fp32_sigma,2594400,1.64947509765625
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,1,fp32,45088,0.028666178385416668
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,1,bf16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,1,fp16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,1,bf16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,1,fp16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,2,fp32,90176,0.057332356770833336
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,2,bf16,45088,0.028666178385416668
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,2,fp16,45088,0.028666178385416668
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,2,bf16_uv_fp32_sigma,45120,0.0286865234375
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,2,fp16_uv_fp32_sigma,45120,0.0286865234375
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,4,fp32,180352,0.11466471354166667
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,4,bf16,90176,0.057332356770833336
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,4,fp16,90176,0.057332356770833336
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,4,bf16_uv_fp32_sigma,90240,0.057373046875
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,4,fp16_uv_fp32_sigma,90240,0.057373046875
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,8,fp32,360704,0.22932942708333334
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,8,bf16,180352,0.11466471354166667
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,8,fp16,180352,0.11466471354166667
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,8,bf16_uv_fp32_sigma,180480,0.11474609375
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,8,fp16_uv_fp32_sigma,180480,0.11474609375
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,16,fp32,721408,0.4586588541666667
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,16,bf16,360704,0.22932942708333334
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,16,fp16,360704,0.22932942708333334
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,16,bf16_uv_fp32_sigma,360960,0.2294921875
0,128,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",384,1024,2.6666666666666665,384,16,fp16_uv_fp32_sigma,360960,0.2294921875
