seed,update,parameter_id,parameter_name,shape,quantizer,diagonal_error_energy,off_diagonal_error_energy,total_error_energy,projected_error_energy,unresolved_error_energy,top_relative_mode_perturbation_mean,top_relative_mode_perturbation_max,top_error_energy_fraction,top_diagonal_error_energy_fraction,middle_relative_mode_perturbation_mean,middle_relative_mode_perturbation_max,middle_error_energy_fraction,middle_diagonal_error_energy_fraction,tail_relative_mode_perturbation_mean,tail_relative_mode_perturbation_max,tail_error_energy_fraction,tail_diagonal_error_energy_fraction
1,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,5.2122592023806646e-05,0.019834885373711586,0.019887007772922516,0.019887007772922516,0.0,0.0069615948013961315,0.02550618164241314,0.10441403090953827,0.00046660873340442777,0.07295160740613937,0.20296064019203186,0.10241564363241196,0.0001635637745494023,11.190345764160156,256.0411376953125,0.0989810973405838,0.00020528206368908286
1,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,0.0002445334102958441,0.022140201181173325,0.022384732961654663,0.022384734824299812,0.0,0.019882215186953545,0.03681185096502304,0.11403972655534744,0.00775273097679019,0.11256496608257294,0.31558912992477417,0.10263337939977646,0.00034063204657286406,28.216259002685547,899.9140625,0.10034608840942383,0.0003092533734161407
1,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,5.289737980973541e-09,1.9382766822673148e-06,4.827009888686007e-06,1.9435665308265015e-06,2.8834433578595053e-06,0.0002003318804781884,0.0007666753372177482,0.055223509669303894,0.00014674593694508076,0.0009381028939969838,0.002716489601880312,0.03811322897672653,7.061552605591714e-05,0.0027238582260906696,0.007231906056404114,0.036954592913389206,8.8809261796996e-05
1,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,1.9794497347902507e-06,0.0006255228654481471,0.0015377386007457972,0.0006275023333728313,0.0009102362673729658,0.004146736580878496,0.012379130348563194,0.056078363209962845,0.00019374855037312955,0.019765280187129974,0.049493174999952316,0.03849441558122635,0.00010528303391765803,0.05782231315970421,0.14794228971004486,0.03742301091551781,0.00012923480244353414
1,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",int4-dynamic-b2048,1.370624522678554e-05,0.0005807032575830817,0.0012468222994357347,0.0005944095319136977,0.000652412767522037,0.021192586049437523,0.04015723988413811,0.08943011611700058,0.008184147998690605,0.03229694440960884,0.090079165995121,0.0427686832845211,0.00032916030613705516,0.05147329345345497,0.1661287546157837,0.034855470061302185,0.00013481389032676816
1,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,5.825468551989843e-09,1.9175322449882515e-06,4.745462774735643e-06,1.9233577859267825e-06,2.82210498880886e-06,0.00023295696882996708,0.0007995669730007648,0.05620153248310089,0.00012728404544759542,0.0011544051812961698,0.0033800152596086264,0.038607943803071976,0.0001126578135881573,0.00319471163675189,0.01182770635932684,0.03636765852570534,0.00011563011503312737
1,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",int4-linear-b2048,1.6922881513892207e-06,0.0006241850787773728,0.0015233595622703433,0.0006258773501031101,0.0008974822121672332,0.0038738991133868694,0.014736471697688103,0.056680869311094284,0.00016544002573937178,0.01777598261833191,0.04704862833023071,0.03889475762844086,8.373283344553784e-05,0.04957819730043411,0.1751750409603119,0.03717941418290138,0.00010055882012238726
1,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",int4-dynamic-b2048,1.4026090866536833e-05,0.0005652818363159895,0.0012008341727778316,0.0005793079035356641,0.0006215262692421675,0.020330099388957024,0.03258531913161278,0.09017278999090195,0.008938207291066647,0.03693525865674019,0.07037531584501266,0.04367636889219284,0.00035658193519338965,0.06021297350525856,0.19050246477127075,0.03444080799818039,0.00015158922178670764
1,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",int8-linear-b2048,1.414287140732995e-07,6.323251727735624e-05,0.00016821581812109798,6.337394734146073e-05,0.00010484187077963725,0.00025899469619616866,0.001004713587462902,0.03867582231760025,8.250222890637815e-05,0.001711351564154029,0.005530500318855047,0.03866573050618172,8.646429341752082e-05,0.005307232029736042,0.017902499064803123,0.03825170546770096,0.00011989090853603557
1,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",int4-linear-b2048,0.0001988159492611885,0.01995062083005905,0.051024142652750015,0.020149435847997665,0.03087470680475235,0.022188670933246613,0.0435759499669075,0.04690495878458023,0.0018619231414049864,0.05944014713168144,0.14682459831237793,0.039864879101514816,0.00028659289819188416,0.08403831720352173,0.3816109597682953,0.03970823436975479,0.0001184344946523197
1,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",int4-dynamic-b2048,0.0006223217351362109,0.009129595942795277,0.019978733733296394,0.00975191779434681,0.010226815938949585,0.04134921357035637,0.0633532926440239,0.0731530487537384,0.02384655363857746,0.05120418220758438,0.1008385494351387,0.04699249565601349,0.0005161768640391529,0.08825341612100601,0.2573194205760956,0.04638969898223877,0.00023229971702676266
1,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,1.0897217350702704e-08,4.050634288432775e-06,5.098795554658864e-06,4.061531399202067e-06,1.0372641554567963e-06,0.0003373834188096225,0.0011316477321088314,0.10049629211425781,0.00026847299886867404,0.005718359723687172,0.014853197149932384,0.08957608789205551,0.0002504911972209811,0.02368590608239174,0.062978595495224,0.03564581647515297,7.920457574073225e-05
1,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,3.429547405175981e-06,0.0013428152306005359,0.0016843497287482023,0.0013462448259815574,0.00033810490276664495,0.005433967802673578,0.01847931370139122,0.10139927268028259,0.0002584839821793139,0.10033739358186722,0.2608722746372223,0.09202161431312561,0.00023620188585482538,0.43831437826156616,1.3693560361862183,0.0340600349009037,9.487148781772703e-05
1,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,1.903801239677705e-05,0.0014066967414692044,0.0017748477403074503,0.0014257347211241722,0.0003491130191832781,0.022853942587971687,0.04095881059765816,0.11213357746601105,0.008622136898338795,0.08922019600868225,0.2377261519432068,0.08912204951047897,0.00019542794325388968,0.41876837611198425,1.1915173530578613,0.03322264552116394,8.118911500787362e-05
1,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,1.606757251693125e-07,5.5949851230252534e-05,5.611051892628893e-05,5.611052620224655e-05,0.0,0.0002975294191855937,0.0012309221783652902,0.10091187059879303,0.0002749515697360039,0.00585393188521266,0.018525095656514168,0.10147209465503693,0.00024163484340533614,0.2268058806657791,0.7941317558288574,0.10295925289392471,0.0002466769947204739
1,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,4.290034485165961e-05,0.018472302705049515,0.018515203148126602,0.018515203148126602,0.0,0.006117245648056269,0.016981646418571472,0.10372801870107651,0.00029164375155232847,0.07785370200872421,0.2709514796733856,0.10232950747013092,0.0001352318504359573,9.098596572875977,139.44876098632812,0.10045517235994339,0.00033603914198465645
