seed,update,parameter_id,parameter_name,shape,quantizer,band,side,principal_angle_mean,principal_angle_max,projection_distance,projection_distance_normalized
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-dynamic-b2048,top,left,0.1385834813117981,1.4791995286941528,1.7481637001037598,0.2799302339553833
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-dynamic-b2048,top,right,0.16729885339736938,1.4801217317581177,1.9071581363677979,0.3053897023200989
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-dynamic-b2048,middle,left,0.9563804268836975,1.5655341148376465,7.012526512145996,1.1229028701782227
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-dynamic-b2048,middle,right,1.028481364250183,1.553044319152832,7.368371486663818,1.1798837184906006
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-dynamic-b2048,tail,left,0.8460907340049744,1.556023120880127,6.443764686584473,1.0318281650543213
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-dynamic-b2048,tail,right,1.1673932075500488,1.5689040422439575,7.9875874519348145,1.279037594795227
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,top,left,0.00666081765666604,0.027222245931625366,0.07323874533176422,0.011727585457265377
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,top,right,0.006716713774949312,0.027639497071504593,0.0731668546795845,0.011716073378920555
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,middle,left,0.12205862253904343,0.39277562499046326,1.2538095712661743,0.20077021420001984
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,middle,right,0.11953157186508179,0.3960713744163513,1.2398372888565063,0.1985328495502472
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,tail,left,0.32375022768974304,1.1098899841308594,3.0105881690979004,0.4820799231529236
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,tail,right,0.21893173456192017,1.1040621995925903,2.3593013286590576,0.37779057025909424
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,top,left,0.12069709599018097,0.45077162981033325,1.2945910692214966,0.20730048418045044
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,top,right,0.11980687826871872,0.4508768320083618,1.284179925918579,0.20563335716724396
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,middle,left,1.1998013257980347,1.56742262840271,8.071873664855957,1.2925342321395874
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,middle,right,1.1738379001617432,1.5586926937103271,7.967381954193115,1.2758021354675293
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,tail,left,1.339963436126709,1.569164752960205,8.514236450195312,1.3633689880371094
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,tail,right,1.1415756940841675,1.5681428909301758,7.830759525299072,1.253925085067749
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,top,left,0.13632383942604065,0.4644840657711029,1.4340895414352417,0.22963811457157135
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,top,right,0.13484609127044678,0.4915894865989685,1.4289618730545044,0.22881703078746796
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,middle,left,1.2219493389129639,1.5656613111495972,8.146380424499512,1.3044648170471191
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,middle,right,1.1947362422943115,1.5688754320144653,8.041800498962402,1.287718653678894
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,tail,left,1.3419780731201172,1.564034104347229,8.519174575805664,1.3641597032546997
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,tail,right,1.1593525409698486,1.561666488647461,7.920848846435547,1.2683509588241577
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,top,left,0.010856930166482925,0.15927983820438385,0.23566430807113647,0.03773649036884308
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,top,right,0.01081465557217598,0.15951192378997803,0.2357478141784668,0.03774986416101456
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,middle,left,0.15632206201553345,1.1079775094985962,1.8729925155639648,0.2999188303947449
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,middle,right,0.1562255471944809,1.107957363128662,1.8726309537887573,0.2998609244823456
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,tail,left,0.3510607182979584,1.3039206266403198,3.4110100269317627,0.5461987257003784
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,tail,right,0.34120601415634155,1.3002567291259766,3.350691080093384,0.5365399718284607
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,top,left,0.14511699974536896,0.9613747000694275,1.710336685180664,0.27387306094169617
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,top,right,0.1459290236234665,0.9430953860282898,1.7099628448486328,0.2738131880760193
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,middle,left,1.18690025806427,1.5676400661468506,8.026031494140625,1.2851935625076294
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,middle,right,1.1872745752334595,1.5609469413757324,8.0267915725708,1.2853152751922607
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,tail,left,1.1714746952056885,1.5564883947372437,7.959558486938477,1.2745493650436401
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,tail,right,1.185057282447815,1.56000816822052,7.998410224914551,1.2807706594467163
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,top,left,0.1496734619140625,0.5661329627037048,1.6290442943572998,0.26085585355758667
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,top,right,0.15117739140987396,0.5775039792060852,1.6470435857772827,0.2637380361557007
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,middle,left,1.2102789878845215,1.5645925998687744,8.089136123657227,1.295298457145691
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,middle,right,1.2095192670822144,1.56942617893219,8.109504699707031,1.2985600233078003
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,tail,left,1.1892423629760742,1.5688832998275757,8.018264770507812,1.2839499711990356
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,tail,right,1.1893655061721802,1.5696543455123901,8.022523880004883,1.2846319675445557
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,top,left,0.008391175419092178,0.020661646500229836,0.08534383028745651,0.013665949925780296
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,top,right,0.0065231467597186565,0.01940602995455265,0.06765643507242203,0.010833700187504292
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,middle,left,0.08981955051422119,0.7423867583274841,1.2417694330215454,0.19884224236011505
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,middle,right,0.08343761414289474,0.7415437698364258,1.2182847261428833,0.1950816810131073
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,tail,left,0.11490337550640106,1.0058857202529907,1.4601784944534302,0.23381568491458893
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,tail,right,0.08088589459657669,1.0066919326782227,1.3369853496551514,0.21408899128437042
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,top,left,0.16141976416110992,0.5485970377922058,1.6554629802703857,0.26508623361587524
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,top,right,0.12411586940288544,0.5380846261978149,1.3780267238616943,0.22066088020801544
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,middle,left,1.0268926620483398,1.5688352584838867,7.368146896362305,1.1798477172851562
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,middle,right,0.9528581500053406,1.5613306760787964,7.0069899559021,1.1220163106918335
