seed,update,parameter_id,parameter_name,shape,danger_log10_start,danger_log10_end,active_rank,danger_mode_count,danger_fraction_active_rank,danger_residual_energy_fraction
0,2048,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,199,0.5182291666666666,0.6617488496692188
0,2048,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,162,0.421875,0.6413094713326659
0,2048,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,169,0.4401041666666667,0.6077752427596886
0,2048,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,130,0.3385416666666667,0.5558938691772571
0,2048,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,178,0.4635416666666667,0.6260711072808102
0,2048,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,383,135,0.3524804177545692,0.5764481584339756
0,2048,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,7,0.018229166666666668,0.03143275392984593
0,4096,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,186,0.484375,0.6759463141547525
0,4096,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,177,0.4609375,0.6927492349738286
0,4096,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,209,0.5442708333333334,0.7467575120506271
0,4096,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,182,0.4739583333333333,0.7119506948854283
0,4096,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,219,0.5703125,0.6688580868336189
0,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,173,0.4505208333333333,0.6600629061405983
0,4096,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,219,0.5703125,0.6934417261026764
0,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,162,0.421875,0.641167760745462
0,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,169,0.4401041666666667,0.6089525137850853
0,4096,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,121,0.3151041666666667,0.5261089622758565
0,4096,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,171,0.4453125,0.6109973013082868
0,4096,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,122,0.3177083333333333,0.5315552734249211
0,4096,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,4096,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,20,0.052083333333333336,0.08438284291424082
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,181,0.4713541666666667,0.645997531763284
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,145,0.3776041666666667,0.6051700464540747
