seed,update,parameter_id,method,t,exact_polar_distortion,exact_polar_relative_l2,s_perp,s_full
0,4096,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.0,0.21489178687487398,0.6555788081914659,1.0303559805207183,1.030355980520717
0,4096,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.25,0.2656826713838082,0.7289481070471425,1.0303559805207183,1.030355980520717
0,4096,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.5,0.30998291411966283,0.7873790880124588,1.0303559805207183,1.030355980520717
0,4096,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.05,0.0012347520056760208,0.049694104392261726,0.9942522239453236,0.9942522239453236
0,4096,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.1,0.004886165023901157,0.0988550962156118,0.9942522239453236,0.9942522239453236
0,4096,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.2,0.0186248954407936,0.1930020489051372,0.9942522239453236,0.9942522239453236
0,4096,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.4,0.06281764899659614,0.35445069895993997,0.9942522239453236,0.9942522239453236
0,4096,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.6,0.1146254909556067,0.4788016101802627,0.9942522239453236,0.9942522239453236
0,4096,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.8,0.16545649091185077,0.5752503644707256,0.9942522239453236,0.9942522239453236
0,4096,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.0,0.21261246613064422,0.6520927328695544,0.9942522239453236,0.9942522239453236
0,4096,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.25,0.2655715981753507,0.7287957164738945,0.9942522239453236,0.9942522239453236
0,4096,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.5,0.3122923935438058,0.7903067677096098,0.9942522239453236,0.9942522239453236
1,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.05,0.0012508161908071358,0.050016321152348095,0.9999021667566811,0.9999021667566811
1,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.1,0.004975549214862762,0.09975519249504934,0.9999021667566811,0.9999021667566811
1,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.2,0.019329297349480745,0.19661789007859629,0.9999021667566811,0.9999021667566811
1,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.4,0.06887061474102185,0.3711350555822485,0.9999021667566811,0.9999021667566811
1,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.6,0.13214185593165428,0.5140853157437119,0.9999021667566811,0.9999021667566811
1,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,0.8,0.19734156020194826,0.628238108048134,0.9999021667566811,0.9999021667566811
1,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,1.0,0.25889663296926,0.7195785335448266,0.9999021667566811,0.9999021667566811
1,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,1.25,0.3279271519941216,0.8098483215937703,0.9999021667566811,0.9999021667566811
1,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,1.5,0.3879075777452966,0.8808036986131446,0.9999021667566811,0.9999021667566811
1,128,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,0.05,0.0004649904175259012,0.030495587140618508,0.6080882617616253,0.6080882617616242
1,128,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,0.1,0.0018669453929884838,0.061105570826031914,0.6080882617616253,0.6080882617616242
