seed,update,parameter_id,parameter_name,shape,method,t,finite_cosine_distortion,finite_update_relative_l2,t_s_perp,t_s_full,s_perp,s_full,tail_angle_prior,state_error_relative_l2,gram_fro_prior,first_order_cosine_prediction,finite_vector_mismatch,remainder_radial_fraction,remainder_tangent_fraction,remainder_other_fraction,stable
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,1.0,0.11161602573403384,0.47170940041542053,0.536150885501833,0.536153047273474,0.536150885501833,0.536153047273474,0.7318296716427004,0.1824498325586319,0.04385269433259964,0.14372888601219982,0.6520015426529803,0.37734125345895303,0.48268784787655045,0.7903328538978348,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,1.25,0.15634345978955155,0.5593478083610535,0.6701886068772912,0.6701913090918425,0.536150885501833,0.536153047273474,0.7318296716427004,0.1824498325586319,0.04385269433259964,0.2245763843940622,0.7424145271953883,0.37988117397563625,0.5535831269358464,0.7411045912897737,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,1.5,0.20199215886869615,0.6378932595252991,0.8042263282527495,0.804229570910211,0.536150885501833,0.536153047273474,0.7318296716427004,0.1824498325586319,0.04385269433259964,0.3233899935274496,0.8197539063340016,0.3797936404681479,0.609225668002747,0.6961328006253669,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.05,0.00022466050576019914,0.021197915077209473,0.02118315893540829,0.021183340129333234,0.4236631787081658,0.42366680258666467,0.641536582007548,0.13672716915607452,0.027503808960318565,0.00022436311124138402,0.03219122545868719,0.36984865652838766,0.006786305200160091,0.9290672297125977,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.1,0.0008985131943202163,0.04239273443818092,0.04236631787081658,0.04236668025866647,0.4236631787081658,0.42366680258666467,0.641536582007548,0.13672716915607452,0.027503808960318565,0.0008974524449655361,0.064287864653511,0.3704483266963627,0.021060310559171312,0.9286142905248574,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.2,0.0035773271450815214,0.08458131551742554,0.08473263574163316,0.08473336051733293,0.4236631787081658,0.42366680258666467,0.641536582007548,0.13672716915607452,0.027503808960318565,0.0035898097798621443,0.12793992625306808,0.37129352024382656,0.07634904300777959,0.9253712473687009,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.4,0.013941954070126217,0.16690784692764282,0.16946527148326632,0.16946672103466587,0.4236631787081658,0.42366680258666467,0.641536582007548,0.13672716915607452,0.027503808960318565,0.014359239119448577,0.2511773139738052,0.3717233075328821,0.18273387379559797,0.9101813632482468,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.6,0.0299789138755282,0.24460066854953766,0.25419790722489943,0.2542000815519988,0.4236631787081658,0.42366680258666467,0.641536582007548,0.13672716915607452,0.027503808960318565,0.03230828801875929,0.36575077914097964,0.37092927081041843,0.27970948581322896,0.885536040826187,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.8,0.05020350917814631,0.31635433435440063,0.33893054296653263,0.33893344206933174,0.4236631787081658,0.42366680258666467,0.641536582007548,0.13672716915607452,0.027503808960318565,0.05743695647779431,0.46866729890377656,0.3696391525176474,0.3644124206114794,0.8547341602101101,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.0,0.07322240984036299,0.38195258378982544,0.4236631787081658,0.42366680258666467,0.4236631787081658,0.42366680258666467,0.641536582007548,0.13672716915607452,0.027503808960318565,0.0897452444965536,0.5584441852666241,0.36846256792750176,0.43614563063570133,0.8209825363024612,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.25,0.10433651160438362,0.4560796320438385,0.5295789733852072,0.5295835032333308,0.4236631787081658,0.42366680258666467,0.641536582007548,0.13672716915607452,0.027503808960318565,0.140226944525865,0.6528919515986588,0.36747208668761566,0.5093370256923827,0.778164545429984,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.5,0.13677304624462205,0.5227773189544678,0.6354947680622487,0.6355002038799971,0.4236631787081658,0.42366680258666467,0.641536582007548,0.13672716915607452,0.027503808960318565,0.20192680011724562,0.7316144968282448,0.3665368957363766,0.5679925362360633,0.7369092093630157,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.05,0.00022383967336303545,0.021158762276172638,0.02111425560009736,0.021114328101989883,0.4222851120019471,0.42228656203979764,0.6523563362993849,0.15327735245227814,0.04219279810786247,0.00022290589477312134,0.031760071576258306,0.3704072919899349,0.051269616539436506,0.9274534298068845,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.1,0.0008978523963427687,0.04237592592835426,0.04222851120019472,0.04222865620397977,0.4222851120019471,0.42228656203979764,0.6523563362993849,0.15327735245227814,0.04219279810786247,0.0008916235790924854,0.0634669474616483,0.3712109929364235,0.023999828150085493,0.9282383352199448,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.2,0.003596302209523672,0.08480173349380493,0.08445702240038944,0.08445731240795953,0.4222851120019471,0.42228656203979764,0.6523563362993849,0.15327735245227814,0.04219279810786247,0.0035664943163699414,0.12645988309805314,0.3726020946944684,0.030320289556206106,0.9274957461198873,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.4,0.014193266212729205,0.16839668154716492,0.16891404480077887,0.16891462481591907,0.4222851120019471,0.42228656203979764,0.6523563362993849,0.15327735245227814,0.04219279810786247,0.014265977265479766,0.24872325974187168,0.3745059907587001,0.13534708160345546,0.9172929904819048,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.6,0.030917157726714883,0.2483905553817749,0.25337106720116825,0.2533719372238786,0.4222851120019471,0.42228656203979764,0.6523563362993849,0.15327735245227814,0.04219279810786247,0.03209844884732946,0.3620807443989091,0.37580698773315097,0.2313363634861643,0.8973586768399242,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.8,0.05244768997478155,0.3233628273010254,0.33782808960155775,0.33782924963183814,0.4222851120019471,0.42228656203979764,0.6523563362993849,0.15327735245227814,0.04219279810786247,0.05706390906191906,0.4626144117824518,0.37719694261951436,0.31504865584881125,0.8709000005318076,True
