seed,update,parameter_id,parameter_name,shape,method,state_error_relative_l2,s_perp,s_full,local_cosine_coefficient,derivative_radial_fraction,sigma_min_active_over_max,condition_active,tail_spectral_mass,active_rank,matrix_norm,error_norm,tail_angle_prior,raw_relative_l2_prior,gram_fro_prior,cached_update_distortion_prior
0,2048,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.07996033877134323,0.8281271563820571,0.8281387409400752,0.34289729356871607,0.005289342169683596,0.001060300636594105,943.1287367818597,3.297268189189675e-05,384,0.34819090366363525,0.027841461822390556,0.8600841406415645,0.07996033877134323,0.013742034323513508,0.21730756759643555
0,2048,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.20889736711978912,2.6359140232867326,2.6359216570345536,3.474021369079825,0.0024066744037854323,7.015345426760039e-06,142544.65591751182,2.720482882289361e-06,384,0.849679708480835,0.17749585211277008,0.9071745893597782,0.20889736711978912,0.06162204593420029,0.5028429329395294
0,2048,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.09822327643632889,1.2240283443097748,1.2240388598607745,0.7491226938368644,0.00414507582384123,7.015345426760039e-06,142544.65591751182,2.720482882289361e-06,384,0.849679708480835,0.0834583267569542,0.8713113475532293,0.09822327643632889,0.01689826510846615,0.3326115012168884
0,2048,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0719272643327713,0.9165752136647373,0.9165752469231526,0.42005506115227936,0.00026939014441006176,7.015345426760039e-06,142544.65591751182,2.720482882289361e-06,384,0.849679708480835,0.06111513450741768,0.8375316540488065,0.0719272643327713,0.012348209507763386,0.24109196662902832
0,2048,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.07362710684537888,0.8987398228665596,0.8987492308346292,0.4038666346031075,0.004575541648599784,7.015345426760039e-06,142544.65591751182,2.720482882289361e-06,384,0.849679708480835,0.06255945563316345,0.8378385513993193,0.07362710684537888,0.01394987665116787,0.24238014221191406
0,2048,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.193632572889328,0.3986669688353528,0.3986669689137165,0.07946767602018408,1.9827558312794307e-05,0.01688218648907334,59.23403349721495,0.004902373330152559,384,0.3223769962787628,0.06242268532514572,0.6345213776633891,0.193632572889328,0.05024081468582153,0.07148623466491699
0,2048,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.1757417619228363,0.3540894795520586,0.3540995556632566,0.06268967976472387,0.007543896011115055,0.01688218648907334,59.23403349721495,0.004902373330152559,384,0.3223769962787628,0.05665510147809982,0.6075346103021444,0.1757417619228363,0.031657565385103226,0.0617600679397583
0,2048,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.1319027990102768,0.2737791600334145,0.2737795287747721,0.037477514234301,0.0016412520855549745,0.01688218648907334,59.23403349721495,0.004902373330152559,384,0.3223769962787628,0.04252242669463158,0.4995728938365467,0.1319027990102768,0.02180473320186138,0.03609555959701538
0,2048,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.13955754041671753,0.27044129843850073,0.2704437167081062,0.03656924795055111,0.004228905083678859,0.01688218648907334,59.23403349721495,0.004902373330152559,384,0.3223769962787628,0.044990140944719315,0.49846565820031785,0.13955754041671753,0.028492683544754982,0.03771752119064331
0,2048,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.19738419353961945,0.41053439812663695,0.4105354496637568,0.08426924602260003,0.002263349866009553,0.016657633022958213,60.03253875396103,0.004665529528145756,384,0.31571266055107117,0.062316689640283585,0.6428519028118673,0.19738419353961945,0.04880887642502785,0.07570153474807739
0,2048,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.17651082575321198,0.35810161199307566,0.35810600961566846,0.06411838225601965,0.0049558349872763,0.016657633022958213,60.03253875396103,0.004665529528145756,384,0.31571266055107117,0.05572670325636864,0.6069517202183363,0.17651082575321198,0.03247738257050514,0.06292062997817993
