seed,update,parameter_id,method,n_t,monotone_non_decreasing,monotone_step_fraction,minimum_step_change,t1_distortion
0,128,transformer.h.5.mlp.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0017156128577772156,0.16200828956459457
0,128,transformer.h.5.mlp.c_proj.weight,structural_int4_k8,9,True,1.0,0.0012736159845037065,0.1256232688815786
0,128,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.0010453969221116965,0.11334303456634753
0,512,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,9,True,1.0,0.012054141153420628,0.4108722183115573
0,512,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.005292751982515664,0.31188531978425493
0,512,transformer.h.0.attn.c_attn.weight,structural_int4_k8,9,True,1.0,0.002895841235502017,0.22538534325574455
0,512,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,9,True,1.0,0.0028053819538015334,0.22679091752937386
0,512,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,9,True,1.0,0.015263143861647621,0.44084941249699916
0,512,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.006867784610834926,0.35123955866686074
0,512,transformer.h.0.attn.c_proj.weight,structural_int4_k8,9,True,1.0,0.0037301961495280755,0.26147094042613883
0,512,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.0036328302381137823,0.2632081480228957
0,512,transformer.h.0.mlp.w1.weight,direct_scalar_int4,9,True,1.0,0.0006529561754844426,0.07689128849923677
0,512,transformer.h.0.mlp.w1.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0005097646804673728,0.06549512996914342
0,512,transformer.h.0.mlp.w1.weight,structural_int4_k8,9,True,1.0,0.0003048517834632891,0.03897687746186662
0,512,transformer.h.0.mlp.w1.weight,structural_vq64_int3_k8,9,True,1.0,0.00029653558937370317,0.04013441896734993
0,512,transformer.h.0.mlp.w2.weight,direct_scalar_int4,9,True,1.0,0.0006534660687478322,0.07747219258607185
0,512,transformer.h.0.mlp.w2.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0005256109854560043,0.0676422689004792
0,512,transformer.h.0.mlp.w2.weight,structural_int4_k8,9,True,1.0,0.0003177677352830255,0.04035074513945869
0,512,transformer.h.0.mlp.w2.weight,structural_vq64_int3_k8,9,True,1.0,0.00030985907447544925,0.04184799735935307
0,512,transformer.h.0.mlp.c_proj.weight,direct_scalar_int4,9,True,1.0,0.0010451514101785797,0.11418476097845409
0,512,transformer.h.0.mlp.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0007645351789256072,0.09209999807287628
0,512,transformer.h.0.mlp.c_proj.weight,structural_int4_k8,9,True,1.0,0.0005167494683369078,0.062033702210800845
0,512,transformer.h.0.mlp.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.00046230117783985225,0.05970757905771984
0,512,transformer.h.1.attn.c_attn.weight,direct_scalar_int4,9,True,1.0,0.015292280783711587,0.42888919693818095
0,512,transformer.h.1.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.007508486203040787,0.35624417682483345
0,512,transformer.h.1.attn.c_attn.weight,structural_int4_k8,9,True,1.0,0.004131771883359003,0.27054747666557233
0,512,transformer.h.1.attn.c_attn.weight,structural_vq64_int3_k8,9,True,1.0,0.004084830777084436,0.27390017435877234
0,512,transformer.h.1.attn.c_proj.weight,direct_scalar_int4,9,True,1.0,0.018064709558436864,0.4487216625613928
0,512,transformer.h.1.attn.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.008862942170350885,0.38189918291124825
0,512,transformer.h.1.attn.c_proj.weight,structural_int4_k8,9,True,1.0,0.0048177225807451984,0.29461094858529613
0,512,transformer.h.1.attn.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.0047823424765018885,0.2972859181543548
0,512,transformer.h.1.mlp.w1.weight,direct_scalar_int4,9,True,1.0,0.0007809469809242353,0.08832148755575953
0,512,transformer.h.1.mlp.w1.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0006691012738888613,0.08252545183210724
0,512,transformer.h.1.mlp.w1.weight,structural_int4_k8,9,True,1.0,0.0004132523272079025,0.051220039730953126
0,512,transformer.h.1.mlp.w1.weight,structural_vq64_int3_k8,9,True,1.0,0.00041204623316248856,0.05423770068272993
0,512,transformer.h.1.mlp.w2.weight,direct_scalar_int4,9,True,1.0,0.0008108384583088712,0.09132785857033354
0,512,transformer.h.1.mlp.w2.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0007023619847472684,0.08540709951777925
0,512,transformer.h.1.mlp.w2.weight,structural_int4_k8,9,True,1.0,0.0004407788133016233,0.053791143929627805
0,512,transformer.h.1.mlp.w2.weight,structural_vq64_int3_k8,9,True,1.0,0.0004337749597136398,0.05654046396015899
0,512,transformer.h.1.mlp.c_proj.weight,direct_scalar_int4,9,True,1.0,0.0011428988163192377,0.12263478755048651
0,512,transformer.h.1.mlp.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0008396861757185015,0.09912372110975987
0,512,transformer.h.1.mlp.c_proj.weight,structural_int4_k8,9,True,1.0,0.0005986619549019911,0.07021528661357568
0,512,transformer.h.1.mlp.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.0005304410498083723,0.06758978493348611
0,512,transformer.h.2.attn.c_attn.weight,direct_scalar_int4,9,True,1.0,0.020097511220814712,0.4695950249110379
0,512,transformer.h.2.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.008099412166502451,0.3705904912908944
0,512,transformer.h.2.attn.c_attn.weight,structural_int4_k8,9,True,1.0,0.004536553967368073,0.28619411473968925
0,512,transformer.h.2.attn.c_attn.weight,structural_vq64_int3_k8,9,True,1.0,0.004394150162042587,0.2858456282352688
0,512,transformer.h.2.attn.c_proj.weight,direct_scalar_int4,9,True,1.0,0.02185577081419976,0.47867240009565015
0,512,transformer.h.2.attn.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0098955167679452,0.39781584244280155
0,512,transformer.h.2.attn.c_proj.weight,structural_int4_k8,9,True,1.0,0.005448303704115309,0.3159690669111399
0,512,transformer.h.2.attn.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.005281042974997541,0.31363449737655524
0,512,transformer.h.2.mlp.w1.weight,direct_scalar_int4,9,True,1.0,0.0009349915767919992,0.09959247917616798
0,512,transformer.h.2.mlp.w1.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0008766644583231287,0.0996776863937816
0,512,transformer.h.2.mlp.w1.weight,structural_int4_k8,9,True,1.0,0.0005367913770712995,0.06278783512426389
0,512,transformer.h.2.mlp.w1.weight,structural_vq64_int3_k8,9,True,1.0,0.0005271710444926248,0.06542138188180768
0,512,transformer.h.2.mlp.w2.weight,direct_scalar_int4,9,True,1.0,0.0010570401580650701,0.10836859956822675
0,512,transformer.h.2.mlp.w2.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0009237323480263404,0.10254662851732332
0,512,transformer.h.2.mlp.w2.weight,structural_int4_k8,9,True,1.0,0.0005749615930535912,0.0657667069587774
0,512,transformer.h.2.mlp.w2.weight,structural_vq64_int3_k8,9,True,1.0,0.0005697303710843205,0.06937787489255898
0,512,transformer.h.2.mlp.c_proj.weight,direct_scalar_int4,9,True,1.0,0.0010543458581693255,0.11540252959368558
0,512,transformer.h.2.mlp.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0008154123359997989,0.0978889468308044
0,512,transformer.h.2.mlp.c_proj.weight,structural_int4_k8,9,True,1.0,0.0005781793449319839,0.06892059355035451
0,512,transformer.h.2.mlp.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.0005069395767073326,0.0652790529010574
0,512,transformer.h.3.attn.c_attn.weight,direct_scalar_int4,9,True,1.0,0.02114051017082952,0.48167212530052017
0,512,transformer.h.3.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.009527299251432142,0.39221881183792195
0,512,transformer.h.3.attn.c_attn.weight,structural_int4_k8,9,True,1.0,0.0053201869866823515,0.3136920424606747
0,512,transformer.h.3.attn.c_attn.weight,structural_vq64_int3_k8,9,True,1.0,0.005131189614613008,0.3100881178143403
0,512,transformer.h.3.attn.c_proj.weight,direct_scalar_int4,9,True,1.0,0.02246095206611931,0.48489106816393834
0,512,transformer.h.3.attn.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.010366575937240108,0.401580994402688
0,512,transformer.h.3.attn.c_proj.weight,structural_int4_k8,9,True,1.0,0.005787369714442048,0.3197737107486551
0,512,transformer.h.3.attn.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.005477153744540053,0.31854671443833094
0,512,transformer.h.3.mlp.w1.weight,direct_scalar_int4,9,True,1.0,0.00118080950379007,0.11452151861399873
0,512,transformer.h.3.mlp.w1.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0010579861594659512,0.11176388633484624
0,512,transformer.h.3.mlp.w1.weight,structural_int4_k8,9,True,1.0,0.0006495593003706945,0.07163076822251269
0,512,transformer.h.3.mlp.w1.weight,structural_vq64_int3_k8,9,True,1.0,0.0006313782985778449,0.07443126460165173
0,512,transformer.h.3.mlp.w2.weight,direct_scalar_int4,9,True,1.0,0.001187090210374997,0.11550466119429348
0,512,transformer.h.3.mlp.w2.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.001086989791022508,0.11352970663315765
0,512,transformer.h.3.mlp.w2.weight,structural_int4_k8,9,True,1.0,0.0006766188731014422,0.07400438172507429
0,512,transformer.h.3.mlp.w2.weight,structural_vq64_int3_k8,9,True,1.0,0.0006585698342512769,0.07635952480353836
0,512,transformer.h.3.mlp.c_proj.weight,direct_scalar_int4,9,True,1.0,0.0010915041290641136,0.1174054522590493
0,512,transformer.h.3.mlp.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.000785562217527902,0.0948009964153611
0,512,transformer.h.3.mlp.c_proj.weight,structural_int4_k8,9,True,1.0,0.0005580184115986375,0.066787090367599
0,512,transformer.h.3.mlp.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.0004836550715832111,0.06279285290298897
0,512,transformer.h.4.attn.c_attn.weight,direct_scalar_int4,9,True,1.0,0.020748300072876202,0.470060909357516
0,512,transformer.h.4.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.009938320557513869,0.3947341713220318
0,512,transformer.h.4.attn.c_attn.weight,structural_int4_k8,9,True,1.0,0.005584535325306672,0.3139886828272689
0,512,transformer.h.4.attn.c_attn.weight,structural_vq64_int3_k8,9,True,1.0,0.005304250536422472,0.3114930850522072
0,512,transformer.h.4.attn.c_proj.weight,direct_scalar_int4,9,True,1.0,0.020774615623953663,0.47704350388675976
0,512,transformer.h.4.attn.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.010263547721308997,0.40220828169526
0,512,transformer.h.4.attn.c_proj.weight,structural_int4_k8,9,True,1.0,0.005788531534930863,0.323427524342784
0,512,transformer.h.4.attn.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.005471129888686033,0.320715654809822
0,512,transformer.h.4.mlp.w1.weight,direct_scalar_int4,9,True,1.0,0.0014084556268560977,0.12870521232599375
0,512,transformer.h.4.mlp.w1.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.001234112820526656,0.12282673809960554
0,512,transformer.h.4.mlp.w1.weight,structural_int4_k8,9,True,1.0,0.0007803487627372485,0.08164972611643162
0,512,transformer.h.4.mlp.w1.weight,structural_vq64_int3_k8,9,True,1.0,0.0007532229239985977,0.08451596838623576
0,512,transformer.h.4.mlp.w2.weight,direct_scalar_int4,9,True,1.0,0.0015337427059735065,0.13519613938995056
0,512,transformer.h.4.mlp.w2.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.001300762244564102,0.12778072085152326
0,512,transformer.h.4.mlp.w2.weight,structural_int4_k8,9,True,1.0,0.0008245981358582233,0.08645265306276995
0,512,transformer.h.4.mlp.w2.weight,structural_vq64_int3_k8,9,True,1.0,0.0007940064665555857,0.08773776707739944
0,512,transformer.h.4.mlp.c_proj.weight,direct_scalar_int4,9,True,1.0,0.0013101325657423057,0.1333474707693798
0,512,transformer.h.4.mlp.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0007923369360454124,0.09448508213429274
0,512,transformer.h.4.mlp.c_proj.weight,structural_int4_k8,9,True,1.0,0.0005767043528712712,0.06829922353370321
0,512,transformer.h.4.mlp.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.0004947935723480512,0.06341054093973142
0,512,transformer.h.5.attn.c_attn.weight,direct_scalar_int4,9,True,1.0,0.024451416343588495,0.49326968630582735
0,512,transformer.h.5.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.01033575993863356,0.4058141167571805
0,512,transformer.h.5.attn.c_attn.weight,structural_int4_k8,9,True,1.0,0.0059037847848033564,0.3242971612074279
0,512,transformer.h.5.attn.c_attn.weight,structural_vq64_int3_k8,9,True,1.0,0.005613440772331724,0.32397497607236325
0,512,transformer.h.5.attn.c_proj.weight,direct_scalar_int4,9,True,1.0,0.024771161719489898,0.5041655920107461
