row_bin_label,col_bin_label,energy,energy_fraction
"[-2.5,-2)","[-4,-3.5)",0.009959212626654335,0.006677247845794314
"[-2.5,-2)","[-4.5,-4)",0.003321626378237852,0.0022270156698193837
"[-2.5,-2)","[-5,-4.5)",0.0010599296044802031,0.000710639779822295
"[-2.5,-2)","[-5.5,-5)",0.0004265701752501627,0.0002859979890524845
"[-2.5,-2)","[-6,-5.5)",0.00015707154034316773,0.00010531009264578215
"[-3,-2.5)","[-0.5,0)",0.0025839094219008985,0.0017324063927442685
"[-3,-2.5)","[-1,-0.5)",0.009801628109016747,0.006571593822693132
"[-3,-2.5)","[-1.5,-1)",0.03126360653550364,0.02096097926780394
"[-3,-2.5)","[-2,-1.5)",0.050961645298229996,0.03416771476241229
"[-3,-2.5)","[-2.5,-2)",0.05416921715368517,0.03631826150390339
"[-3,-2.5)","[-3.5,-3)",0.020767730485886204,0.013923920378784536
"[-3,-2.5)","[-4,-3.5)",0.007554216938842728,0.0050647958500807345
"[-3,-2.5)","[-4.5,-4)",0.0026193755469421376,0.0017561849901000957
"[-3,-2.5)","[-5,-4.5)",0.0008177886945190949,0.0005482941276078548
"[-3,-2.5)","[-5.5,-5)",0.0003331450885752929,0.00022336026033552205
"[-3,-2.5)","[-6,-5.5)",0.000136588569603191,9.157709211891985e-05
"[-3.5,-3)","[-0.5,0)",0.001281172384636875,0.0008589740842074559
"[-3.5,-3)","[-1,-0.5)",0.00478131457319364,0.0032056773593202538
"[-3.5,-3)","[-1.5,-1)",0.015161779879399262,0.010165358029125259
"[-3.5,-3)","[-2,-1.5)",0.0248593791476992,0.016667204736397066
"[-3.5,-3)","[-2.5,-2)",0.026634231862516344,0.017857171444698602
"[-3.5,-3)","[-3,-2.5)",0.020461882084902072,0.013718861439572292
"[-3.5,-3)","[-4,-3.5)",0.004308030870561197,0.002888359846147159
"[-3.5,-3)","[-4.5,-4)",0.0014581879854063118,0.0009776558598878268
"[-3.5,-3)","[-5,-4.5)",0.000468289417710821,0.000313969047839105
"[-3.5,-3)","[-5.5,-5)",0.0001675986812301744,0.00011236811333930683
"[-3.5,-3)","[-6,-5.5)",7.3663383773237e-05,4.938830900119092e-05
"[-4,-3.5)","[-0.5,0)",0.00048203846082017776,0.00032318722320348885
"[-4,-3.5)","[-1,-0.5)",0.00177960408680633,0.0011931523103735776
