seed,update,bin_label,tensor_count,diagonal_energy,left_associated_energy,right_associated_energy,cross_mode_energy,total_energy,residual_fraction,aggregation
1,2048,"[-2,-1.5)",29,0.000275621719122654,0.04516089372191345,0.04313051487042685,0.0448852735607943,0.1862155394628644,0.24251946884872924,group
1,2048,"[-2.5,-2)",12,7.20985948987618e-05,0.026284716426744126,0.02702103409683332,0.026212617070996203,0.11312917654868215,0.23234250640402382,group
1,2048,"[-3,-2.5)",12,4.5408062248952774e-05,0.018935520507511683,0.020774721037014388,0.018890111336077098,0.11312917654868215,0.16737963702372818,group
1,2048,"[-3.5,-3)",10,2.1537856798037325e-05,0.008733230095913314,0.008602470245023142,0.008711692111774028,0.10814193869009614,0.08075710683290276,group
1,2048,"[-4,-3.5)",6,6.1522330270236125e-06,0.0031258461749530397,0.0029363144421949983,0.003119694098131731,0.09104216354899108,0.034334049775420566,group
1,2048,"[-4.5,-4)",6,2.8487992551617936e-06,0.0010462507452757563,0.0009647799815866165,0.0010434019968670327,0.09104216354899108,0.011491936312703663,group
1,2048,"[-5,-4.5)",5,1.1249410071523247e-06,0.00036738987728313077,0.00034559482082840987,0.00036626493965741247,0.08816380053758621,0.0041671284023935,group
1,2048,"[-5.5,-5)",4,6.002563495144386e-07,0.00019664919454953633,0.00019485203301883303,0.00019604894077929202,0.07766393758356571,0.002532052850628949,group
1,2048,"[-6,-5.5)",1,1.6475742992128062e-09,8.011687896214426e-06,7.351001386268763e-06,8.010039891814813e-06,0.002878363011404872,0.0027834181666697,group
1,4096,"[-0.5,0)",30,0.0027810979563582805,0.007434328079398256,0.006888337209602469,0.004653230071198777,0.235498150868807,0.03156851997338962,group
1,4096,"[-1,-0.5)",30,0.002446940703975997,0.025288777280366048,0.026902971309027635,0.022841836915176827,0.235498150868807,0.10738418619029456,group
1,4096,"[-1.5,-1)",30,0.0018004144067162997,0.06702877886709757,0.06592615513363853,0.065228364765062,0.235498150868807,0.28462549968996764,group
1,4096,"[-2,-1.5)",28,0.00041106408823665674,0.05795086051512044,0.05492050865541387,0.05753979595283454,0.22291435120860115,0.25996917740343495,group
1,4096,"[-2.5,-2)",13,0.00010216262523954356,0.034324838532484137,0.03555108467116952,0.03422267685527913,0.15787039184942842,0.2174241675742595,group
1,4096,"[-3,-2.5)",12,6.12238502526452e-05,0.0244256211881293,0.02698948599572759,0.024364397977478802,0.14398296596482396,0.1696424366900224,group
1,4096,"[-3.5,-3)",11,3.2400373157770446e-05,0.012392899568794746,0.012234963530318055,0.012360500041040723,0.14051354490220547,0.08819718823135485,group
1,4096,"[-4,-3.5)",6,1.0948793217835373e-05,0.004495880548347486,0.004121784251765348,0.004484931705519557,0.11377314967103302,0.03951618252062991,group
1,4096,"[-4.5,-4)",6,2.3573870002735475e-06,0.0014296284489319078,0.0013015635631745681,0.0014272711032390362,0.11377314967103302,0.012565604917026353,group
1,4096,"[-5,-4.5)",4,6.674782628557363e-07,0.00042427933476574253,0.00039625243152840994,0.0004236118620610796,0.09977361746132374,0.004252420084199215,group
1,4096,"[-5.5,-5)",2,4.921191365525601e-08,0.00014388150884769857,0.00011638523574220017,0.00014383230154635385,0.050093596801161766,0.0028722535021554227,group
1,4096,"[-6,-5.5)",2,3.5764951800132394e-07,0.0001239291887031868,0.00011929760694329161,0.00012357153718767222,0.04968002066016197,0.0024945478495455756,group
,,"[-6,-5.5)",14,1.5005518085864367e-07,,,7.003528994573572e-05,,0.002673000456363356,mean
,,"[-5.5,-5)",30,2.8234102654395645e-07,,,0.00018827320568561844,,0.0029268142877544776,mean
,,"[-5,-4.5)",53,1.0865898112721871e-06,,,0.00045165310025367943,,0.004389319403977154,mean
,,"[-4.5,-4)",60,3.5007584004098647e-06,,,0.0014416079928196268,,0.012625861747084974,mean
,,"[-4,-3.5)",61,1.0457826025422889e-05,,,0.004215197408848325,,0.03709128785031558,mean
,,"[-3.5,-3)",94,2.8508068245658435e-05,,,0.011060846681380099,,0.08870345956309016,mean
,,"[-3,-2.5)",120,5.6469681430826314e-05,,,0.0222235599780106,,0.17235512433965583,mean
,,"[-2.5,-2)",158,8.715192762276669e-05,,,0.031347584968295907,,0.22217337329499673,mean
,,"[-2,-1.5)",295,0.000307665518517708,,,0.05168393443454988,,0.25435766635220863,mean
,,"[-1.5,-1)",300,0.0012059202293244198,,,0.053697165015910285,,0.26956779520453467,mean
