rank,family,size,component,index,value_0,value_1
4,polar_16x4_uniform,64,0,13,-0.3333333432674408,-2.91409261166109e-08
4,polar_16x4_uniform,64,0,14,-0.3079598844051361,0.12756109237670898
4,polar_16x4_uniform,64,0,15,-0.3079598546028137,-0.12756115198135376
4,polar_16x4_uniform,64,0,16,-0.2551223337650299,0.6159196496009827
4,polar_16x4_uniform,64,0,17,-0.2551220655441284,-0.6159197688102722
4,polar_16x4_uniform,64,0,18,-0.2357022613286972,0.2357022613286972
4,polar_16x4_uniform,64,0,19,-0.23570221662521362,-0.2357023060321808
4,polar_16x4_uniform,64,0,20,-0.12756118178367615,0.3079598546028137
4,polar_16x4_uniform,64,0,21,-0.1275610476732254,-0.3079599142074585
4,polar_16x4_uniform,64,0,22,-4.371138828673793e-08,1.0
4,polar_16x4_uniform,64,0,23,-2.914092434025406e-08,0.6666666269302368
4,polar_16x4_uniform,64,0,24,-1.457046305830545e-08,0.3333333432674408
4,polar_16x4_uniform,64,0,25,3.974960360864088e-09,-0.3333333432674408
4,polar_16x4_uniform,64,0,26,7.949919833549757e-09,-0.6666666269302368
4,polar_16x4_uniform,64,0,27,1.1924880638503055e-08,-1.0
4,polar_16x4_uniform,64,0,28,0.12756115198135376,0.3079598546028137
4,polar_16x4_uniform,64,0,29,0.12756121158599854,-0.30795982480049133
4,polar_16x4_uniform,64,0,30,0.2357022613286972,0.2357022613286972
4,polar_16x4_uniform,64,0,31,0.23570233583450317,-0.23570218682289124
4,polar_16x4_uniform,64,0,32,0.25512227416038513,0.6159196496009827
4,polar_16x4_uniform,64,0,33,0.2551223933696747,-0.6159195899963379
4,polar_16x4_uniform,64,0,34,0.3079598546028137,-0.12756115198135376
4,polar_16x4_uniform,64,0,35,0.3079598546028137,0.12756115198135376
4,polar_16x4_uniform,64,0,36,0.3333333432674408,0.0
4,polar_16x4_uniform,64,0,37,0.3826834261417389,0.9238795638084412
4,polar_16x4_uniform,64,0,38,0.3826836049556732,-0.9238794445991516
