seed,update,parameter_id,method,delta_magnitude_energy,delta_symmetric_energy,delta_skew_energy,delta_out_of_subspace_energy
0,128,transformer.h.0.mlp.c_proj.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.0.mlp.c_proj.weight,pair_local_frechet_hutchinson,0.03317087967187643,0.30937508784608614,0.5704504860346233,3.1426294833511577
0,128,transformer.h.0.mlp.c_proj.weight,pair_local_skew_hutchinson,1.5411952246166492,14.184226068321957,34.62212800657811,197.06310014546602
0,128,transformer.h.0.mlp.c_proj.weight,mix_025,0.04161383049059936,0.5164619978527227,0.4600474143492139,0.9472492631956086
0,128,transformer.h.0.mlp.c_proj.weight,mix_050,0.0411834167977323,0.43472822975219394,0.35521483478174076,0.7427891275610676
0,128,transformer.h.0.mlp.c_proj.weight,mix_075,0.03623501263942985,0.25401718911408233,0.20513566194558308,0.5729667982481317
0,128,transformer.h.1.attn.c_attn.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.1.attn.c_attn.weight,pair_local_frechet_hutchinson,0.08517530194645617,10.191462456024375,23.460750435803433,39.20056399151744
0,128,transformer.h.1.attn.c_attn.weight,pair_local_skew_hutchinson,4.688149255852364,190.9582529145809,440.55626901450233,877.302794402359
0,128,transformer.h.1.attn.c_attn.weight,mix_025,28.876508349416742,675.7878780667914,1578.2567402926045,2548.650881691947
0,128,transformer.h.1.attn.c_attn.weight,mix_050,7.700677739072856,236.93950181643845,557.7227241974434,921.4558700915684
0,128,transformer.h.1.attn.c_attn.weight,mix_075,0.979617542068422,67.88216911120338,160.52558930008877,286.74582145878134
0,128,transformer.h.1.attn.c_proj.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.1.attn.c_proj.weight,pair_local_frechet_hutchinson,0.3504404213283898,28.758166728718905,40.74866657301382,0.0
0,128,transformer.h.1.attn.c_proj.weight,pair_local_skew_hutchinson,2.4729918039930157,196.01700780296136,291.7171739969249,0.0
0,128,transformer.h.1.attn.c_proj.weight,mix_025,-0.059154179027840925,1.4586846137694778,3.083764726067244,0.0
0,128,transformer.h.1.attn.c_proj.weight,mix_050,-0.07701977752991751,3.6542804421144552,4.641172108769695,0.0
0,128,transformer.h.1.attn.c_proj.weight,mix_075,0.025593808529796647,7.742322723625918,7.821226548329605,0.0
0,128,transformer.h.1.mlp.w1.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,pair_local_frechet_hutchinson,0.03934798331189321,0.3279973717929252,0.7615120947216836,2.1234761243697307
0,128,transformer.h.1.mlp.w1.weight,pair_local_skew_hutchinson,1.646740685016891,10.525509710656065,25.3598155387385,141.34686109607117
0,128,transformer.h.1.mlp.w1.weight,mix_025,-0.32926448582793355,4.23565118237428,5.8015986153201675,24.687864288986166
0,128,transformer.h.1.mlp.w1.weight,mix_050,-0.32351176700554146,3.662776245052217,5.045739928392453,20.624810503573098
0,128,transformer.h.1.mlp.w1.weight,mix_075,-0.24793977466597347,2.5066619123051077,3.7385759586986618,14.369916876327746
0,128,transformer.h.1.mlp.w2.weight,mse,0.0,0.0,0.0,0.0
