Kaggle preflight (physical GPU 0 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_int4_4096_s0.json",
  "fingerprint": "d9781e9a40120a433fa25f926216d6f8845066a0e65c515d8b2223cb3f04651e",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0"
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_int4_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[train] 629/4096 | 5152768 tok | loss 5.6036 | lr 9.513e-04 | 1374.7 ms/update | 5959 tok/s
[train] 630/4096 | 5160960 tok | loss 5.9077 | lr 9.512e-04 | 1373.9 ms/update | 5963 tok/s
[train] 631/4096 | 5169152 tok | loss 5.7425 | lr 9.510e-04 | 1376.7 ms/update | 5951 tok/s
[train] 632/4096 | 5177344 tok | loss 5.8501 | lr 9.509e-04 | 1373.9 ms/update | 5963 tok/s
[train] 633/4096 | 5185536 tok | loss 6.0775 | lr 9.507e-04 | 1369.3 ms/update | 5983 tok/s
[train] 634/4096 | 5193728 tok | loss 5.9618 | lr 9.505e-04 | 1374.7 ms/update | 5959 tok/s
[train] 635/4096 | 5201920 tok | loss 5.6576 | lr 9.504e-04 | 1371.6 ms/update | 5973 tok/s
[train] 636/4096 | 5210112 tok | loss 6.0293 | lr 9.502e-04 | 1375.5 ms/update | 5956 tok/s
[train] 637/4096 | 5218304 tok | loss 5.9141 | lr 9.501e-04 | 1378.0 ms/update | 5945 tok/s
[train] 638/4096 | 5226496 tok | loss 5.8607 | lr 9.499e-04 | 1402.5 ms/update | 5841 tok/s
[train] 639/4096 | 5234688 tok | loss 5.8972 | lr 9.497e-04 | 1390.6 ms/update | 5891 tok/s
[train] 640/4096 | 5242880 tok | loss 5.6637 | lr 9.496e-04 | 1388.9 ms/update | 5898 tok/s
[eval] step 640 | val NLL 5.4891 | ppl 242.04 | 65536 tokens
[ckpt] latest.pt @ step 640
[train] 641/4096 | 5251072 tok | loss 5.5643 | lr 9.494e-04 | 1394.4 ms/update | 5875 tok/s
[train] 642/4096 | 5259264 tok | loss 6.2612 | lr 9.493e-04 | 1361.4 ms/update | 6017 tok/s
[train] 643/4096 | 5267456 tok | loss 6.0046 | lr 9.491e-04 | 1394.0 ms/update | 5877 tok/s
[train] 644/4096 | 5275648 tok | loss 5.7475 | lr 9.490e-04 | 1378.4 ms/update | 5943 tok/s
[train] 645/4096 | 5283840 tok | loss 5.6949 | lr 9.488e-04 | 1371.0 ms/update | 5975 tok/s
[train] 646/4096 | 5292032 tok | loss 5.7709 | lr 9.486e-04 | 1374.4 ms/update | 5960 tok/s
[train] 647/4096 | 5300224 tok | loss 5.4607 | lr 9.485e-04 | 1382.3 ms/update | 5926 tok/s
[train] 648/4096 | 5308416 tok | loss 5.5216 | lr 9.483e-04 | 1380.2 ms/update | 5935 tok/s
[train] 649/4096 | 5316608 tok | loss 5.4651 | lr 9.481e-04 | 1387.2 ms/update | 5905 tok/s
[train] 650/4096 | 5324800 tok | loss 6.0223 | lr 9.480e-04 | 1361.8 ms/update | 6015 tok/s
[train] 651/4096 | 5332992 tok | loss 5.9416 | lr 9.478e-04 | 1379.1 ms/update | 5940 tok/s
[train] 652/4096 | 5341184 tok | loss 5.7931 | lr 9.477e-04 | 1369.7 ms/update | 5981 tok/s
[train] 653/4096 | 5349376 tok | loss 6.1217 | lr 9.475e-04 | 1378.8 ms/update | 5942 tok/s
[train] 654/4096 | 5357568 tok | loss 6.0902 | lr 9.473e-04 | 1382.0 ms/update | 5928 tok/s
[train] 655/4096 | 5365760 tok | loss 5.7581 | lr 9.472e-04 | 1380.5 ms/update | 5934 tok/s
[train] 656/4096 | 5373952 tok | loss 5.7562 | lr 9.470e-04 | 1373.8 ms/update | 5963 tok/s
[train] 657/4096 | 5382144 tok | loss 5.7958 | lr 9.468e-04 | 1372.5 ms/update | 5969 tok/s
[train] 658/4096 | 5390336 tok | loss 5.9255 | lr 9.467e-04 | 1382.0 ms/update | 5928 tok/s
[train] 659/4096 | 5398528 tok | loss 5.7979 | lr 9.465e-04 | 1361.9 ms/update | 6015 tok/s
[train] 660/4096 | 5406720 tok | loss 5.6742 | lr 9.464e-04 | 1371.7 ms/update | 5972 tok/s
[train] 661/4096 | 5414912 tok | loss 5.7828 | lr 9.462e-04 | 1363.8 ms/update | 6007 tok/s
[train] 662/4096 | 5423104 tok | loss 5.7420 | lr 9.460e-04 | 1369.6 ms/update | 5981 tok/s
[train] 663/4096 | 5431296 tok | loss 5.5354 | lr 9.459e-04 | 1367.5 ms/update | 5991 tok/s
[train] 664/4096 | 5439488 tok | loss 5.9103 | lr 9.457e-04 | 1371.9 ms/update | 5971 tok/s
[train] 665/4096 | 5447680 tok | loss 5.7399 | lr 9.455e-04 | 1382.1 ms/update | 5927 tok/s
[train] 666/4096 | 5455872 tok | loss 5.6526 | lr 9.454e-04 | 1369.1 ms/update | 5983 tok/s
[train] 667/4096 | 5464064 tok | loss 5.7728 | lr 9.452e-04 | 1373.1 ms/update | 5966 tok/s
[train] 668/4096 | 5472256 tok | loss 5.8253 | lr 9.450e-04 | 1372.4 ms/update | 5969 tok/s
[train] 669/4096 | 5480448 tok | loss 6.0644 | lr 9.449e-04 | 1359.8 ms/update | 6024 tok/s
[train] 670/4096 | 5488640 tok | loss 5.5619 | lr 9.447e-04 | 1374.5 ms/update | 5960 tok/s
