seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_residual_norm,exact_residual_norm,approx_block_absmax_mean,exact_block_absmax_mean,direct_block_absmax_mean,approx_to_exact_block_absmax,approx_to_direct_block_absmax
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",2,2,8,randomized,0.31201696395874023,0.3120168149471283,0.004486924037337303,0.004486903082579374,0.006568066775798798,1.0000046491622925,0.6831422448158264
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",4,2,8,randomized,0.2881262004375458,0.2881048619747162,0.0042043100111186504,0.004199946764856577,0.006568066775798798,1.001038908958435,0.6401137709617615
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",8,2,8,randomized,0.25683408975601196,0.25644659996032715,0.0036562373861670494,0.003655095584690571,0.006568066775798798,1.000312328338623,0.556668758392334
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",16,2,8,randomized,0.21638986468315125,0.2141236662864685,0.0030023350846022367,0.002914957469329238,0.006568066775798798,1.0299756526947021,0.4571109116077423
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",1,4,8,randomized,0.3276005685329437,0.3276005685329437,0.004743286874145269,0.004743286874145269,0.006568066775798798,1.0,0.7221739888191223
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",2,4,8,randomized,0.3120168447494507,0.3120168149471283,0.0044869021512568,0.004486903082579374,0.006568066775798798,0.9999998211860657,0.683138906955719
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",4,4,8,randomized,0.28810498118400574,0.2881048619747162,0.004200074356049299,0.004199946764856577,0.006568066775798798,1.0000303983688354,0.6394689083099365
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",8,4,8,randomized,0.256451815366745,0.25644659996032715,0.00365512166172266,0.003655095584690571,0.006568066775798798,1.000007152557373,0.5564988851547241
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",16,4,8,randomized,0.21430063247680664,0.2141236662864685,0.0029330330435186625,0.002914957469329238,0.006568066775798798,1.0062010288238525,0.4465595781803131
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",1,0,0,canonical,0.24407994747161865,0.22278575599193573,0.0017572968499734998,0.0015795204089954495,0.0017584915040060878,1.1125508546829224,0.9993206262588501
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",2,0,0,canonical,0.24357984960079193,0.21636609733104706,0.001756327343173325,0.001530066248960793,0.0017584915040060878,1.1478766202926636,0.9987692832946777
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",4,0,0,canonical,0.242780864238739,0.20749934017658234,0.0017562702996656299,0.001456869300454855,0.0017584915040060878,1.205509901046753,0.9987368583679199
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",8,0,0,canonical,0.24162770807743073,0.19472983479499817,0.0017555947415530682,0.0013517738552764058,0.0017584915040060878,1.2987340688705444,0.9983527064323425
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",16,0,0,canonical,0.24012424051761627,0.17650629580020905,0.0017555947415530682,0.0012118250597268343,0.0017584915040060878,1.4487196207046509,0.9983527064323425
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",1,2,0,canonical,0.22278565168380737,0.22278575599193573,0.0015795723302289844,0.0015795204089954495,0.0017584915040060878,1.000032901763916,0.8982541561126709
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",2,2,0,canonical,0.21638371050357819,0.21636609733104706,0.0015300867380574346,0.001530066248960793,0.0017584915040060878,1.0000133514404297,0.8701132535934448
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",4,2,0,canonical,0.20761215686798096,0.20749934017658234,0.0014563394943252206,0.001456869300454855,0.0017584915040060878,0.9996363520622253,0.82817542552948
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",8,2,0,canonical,0.19564582407474518,0.19472983479499817,0.0013622381957247853,0.0013517738552764058,0.0017584915040060878,1.0077412128448486,0.7746629118919373
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",16,2,0,canonical,0.18025723099708557,0.17650629580020905,0.0012463881867006421,0.0012118250597268343,0.0017584915040060878,1.0285215377807617,0.7087826132774353
1,4096,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",1,4,0,canonical,0.2227858006954193,0.22278575599193573,0.0015795206418260932,0.0015795204089954495,0.0017584915040060878,1.0000001192092896,0.8982247710227966
