seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_error,exact_error,relative_excess_error,spectral_gap_at_k,condition_proxy,m_multiplies,mt_multiplies
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,0,0,canonical,1.1114826202392578,0.6650431156158447,0.671294093132019,0.0555381178855896,11.954534530639648,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0,0,canonical,1.1086784601211548,0.5514970421791077,1.0103071928024292,0.015282735228538513,43.44329071044922,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0,0,canonical,1.1062544584274292,0.43293264508247375,1.5552576780319214,0.00393214076757431,168.84754943847656,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,2,0,canonical,0.921807050704956,0.9218074083328247,-3.8796375179117604e-07,0.1625978946685791,4.083277702331543,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,2,0,canonical,0.7735589146614075,0.7735586166381836,3.8526263779203873e-07,0.2171524167060852,3.057448387145996,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,2,0,canonical,0.6650592684745789,0.6650431156158447,2.4288437998620793e-05,0.0555381178855896,11.954534530639648,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,2,0,canonical,0.5519914031028748,0.5514970421791077,0.0008963981526903808,0.015282735228538513,43.44329071044922,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,2,0,canonical,0.44562050700187683,0.43293264508247375,0.02930678054690361,0.00393214076757431,168.84754943847656,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,4,0,canonical,0.9218074083328247,0.9218074083328247,0.0,0.1625978946685791,4.083277702331543,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,4,0,canonical,0.7735586166381836,0.7735586166381836,0.0,0.2171524167060852,3.057448387145996,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,4,0,canonical,0.665043294429779,0.6650431156158447,2.688757092528249e-07,0.0555381178855896,11.954534530639648,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,4,0,canonical,0.5514999032020569,0.5514970421791077,5.187739589018747e-06,0.015282735228538513,43.44329071044922,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,4,0,canonical,0.43699657917022705,0.43293264508247375,0.009386989288032055,0.00393214076757431,168.84754943847656,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,0,8,canonical,1.115651249885559,0.9218074083328247,0.2102867066860199,0.1625978946685791,4.083277702331543,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,0,8,canonical,1.1096011400222778,0.7735586166381836,0.4344111979007721,0.2171524167060852,3.057448387145996,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,0,8,canonical,1.1033109426498413,0.6650431156158447,0.659006655216217,0.0555381178855896,11.954534530639648,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0,8,canonical,1.0989826917648315,0.5514970421791077,0.9927263855934143,0.015282735228538513,43.44329071044922,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0,8,canonical,1.0950376987457275,0.43293264508247375,1.5293489694595337,0.00393214076757431,168.84754943847656,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,2,8,canonical,0.9218071699142456,0.9218074083328247,-2.5864250119411736e-07,0.1625978946685791,4.083277702331543,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,2,8,canonical,0.7735589146614075,0.7735586166381836,3.8526263779203873e-07,0.2171524167060852,3.057448387145996,3,2
