seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,method,fraction_of_exact_gain,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,8,randomized,approximate_bf16,0.036537171278620204,0.18145042657852173,0.9835720062255859,1.0018831491470337,0.9058344960212708,0.5970451235771179,1.0177533626556396,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,8,randomized,approximate_bf16,0.04472439467449643,0.18115729093551636,0.983641505241394,1.0027843713760376,0.9019376635551453,0.6008833050727844,1.0186735391616821,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,8,randomized,approximate_bf16,0.9990963589250947,0.14933282136917114,0.9888823628425598,1.0024837255477905,0.8407756686210632,0.6532121300697327,1.0187057256698608,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,8,randomized,approximate_bf16,1.0016755559707056,0.12434882670640945,0.9922869205474854,1.0018789768218994,0.7929274439811707,0.693447470664978,1.0245031118392944,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,8,randomized,approximate_bf16,1.0027880812944319,0.11336624622344971,0.9935875535011292,1.001538634300232,0.7621358036994934,0.7172602415084839,1.02598237991333,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,8,randomized,approximate_bf16,0.9908690551599731,0.09273611009120941,0.9957081079483032,1.001316785812378,0.6938412189483643,0.7669464349746704,1.030795931816101,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,8,randomized,approximate_bf16,0.9906167587997204,0.07418617606163025,0.9972521066665649,1.0008443593978882,0.6106634140014648,0.8196302056312561,1.0310496091842651,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,4,8,randomized,approximate_bf16,0.99999904979908,0.14933271706104279,0.9888826012611389,1.0025038719177246,0.8407506346702576,0.6532687544822693,1.0188055038452148,0.8026591539382935,0.6778714060783386,1.0
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,4,8,randomized,approximate_bf16,1.0000156648238259,0.12434549629688263,0.9922871589660645,1.0018770694732666,0.7932149171829224,0.6932769417762756,1.0246660709381104,0.7516219615936279,0.717534065246582,1.000000238418579
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,4,8,randomized,approximate_bf16,1.000144804763558,0.11336410045623779,0.9935877323150635,1.0016415119171143,0.7627108693122864,0.7169262170791626,1.0262922048568726,0.7209534049034119,0.7401150465011597,1.000000238418579
