seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_local,approx_medium,approx_distant,direct_local,direct_medium,direct_distant
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",8,0,8,randomized,0.3733237087726593,0.49175918102264404,0.11179060488939285,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",16,0,8,randomized,0.37288403511047363,0.493123322725296,0.11128900945186615,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",1,2,8,randomized,0.3518800139427185,0.5190285444259644,0.1188848540186882,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",2,2,8,randomized,0.3465876877307892,0.5225311517715454,0.11870985478162766,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",4,2,8,randomized,0.3424215316772461,0.523546576499939,0.12145377695560455,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",8,2,8,randomized,0.3512670695781708,0.5201700329780579,0.11760048568248749,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",16,2,8,randomized,0.3537435829639435,0.5227779150009155,0.11434484273195267,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",1,4,8,randomized,0.35190144181251526,0.5190238952636719,0.11886896193027496,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",2,4,8,randomized,0.3470381200313568,0.5226649641990662,0.1183863952755928,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",4,4,8,randomized,0.341993123292923,0.5221408605575562,0.12414605170488358,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",8,4,8,randomized,0.34550365805625916,0.5216020345687866,0.1213330551981926,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",16,4,8,randomized,0.35451292991638184,0.5183612108230591,0.11544733494520187,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,0,0,canonical,0.333936482667923,0.4672146141529083,0.18506422638893127,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,0,0,canonical,0.33417731523513794,0.46709781885147095,0.18500661849975586,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,0,0,canonical,0.3341614305973053,0.46713128685951233,0.18524031341075897,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,0,0,canonical,0.33421850204467773,0.46721407771110535,0.18510785698890686,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,0,0,canonical,0.3341417908668518,0.46722790598869324,0.185231551527977,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,2,0,canonical,0.332638144493103,0.46676376461982727,0.18380188941955566,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,2,0,canonical,0.33264410495758057,0.46901488304138184,0.18169893324375153,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,2,0,canonical,0.3358696699142456,0.4607149362564087,0.18334588408470154,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,2,0,canonical,0.33293652534484863,0.4679029881954193,0.1816195249557495,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,2,0,canonical,0.33917978405952454,0.46738916635513306,0.1783326417207718,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,4,0,canonical,0.3326191306114197,0.46676042675971985,0.18380317091941833,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,4,0,canonical,0.33267179131507874,0.4674113690853119,0.183023139834404,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,4,0,canonical,0.3361511826515198,0.46509966254234314,0.1799101084470749,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,4,0,canonical,0.337268590927124,0.4643903076648712,0.18259528279304504,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,4,0,canonical,0.3343800902366638,0.4671441614627838,0.1822482943534851,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,0,8,canonical,0.3339952528476715,0.4677289128303528,0.18490533530712128,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,0,8,canonical,0.33403679728507996,0.46770069003105164,0.18504424393177032,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,0,8,canonical,0.33422887325286865,0.46766534447669983,0.1851624846458435,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",8,0,8,canonical,0.3339484632015228,0.4678976535797119,0.18536041676998138,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",16,0,8,canonical,0.3340369760990143,0.4678216874599457,0.18537728488445282,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",1,2,8,canonical,0.3326122462749481,0.4667647182941437,0.1838061809539795,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",2,2,8,canonical,0.3346279263496399,0.466016560792923,0.1822415143251419,0.3342854976654053,0.4669037163257599,0.18474219739437103
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",4,2,8,canonical,0.3365091383457184,0.46307995915412903,0.180387482047081,0.3342854976654053,0.4669037163257599,0.18474219739437103
