seed,update,parameter_id,shape,error_norm,energy_r1,energy_r2,energy_r4,energy_r8
1,1024,18,"(1024, 384)",0.1540776789188385,0.20858272910118103,0.25761643052101135,0.32669782638549805,0.4108676314353943
1,1024,19,"(384, 1024)",0.42081406712532043,0.09700679779052734,0.15576981008052826,0.21149829030036926,0.28935506939888
1,1024,20,"(1152, 384)",0.2597822844982147,0.4209035336971283,0.49023234844207764,0.583343505859375,0.6863078474998474
1,1024,21,"(384, 384)",0.4492282569408417,0.35848867893218994,0.5020208358764648,0.5621151924133301,0.638491153717041
1,1024,22,"(1024, 384)",0.15792442858219147,0.10356609523296356,0.1800377368927002,0.26763272285461426,0.3530579209327698
1,1024,23,"(1024, 384)",0.15517868101596832,0.1101335734128952,0.17002572119235992,0.2621118724346161,0.3525950014591217
1,1024,24,"(384, 1024)",0.4266914129257202,0.1879115104675293,0.2473968267440796,0.2916819751262665,0.35750144720077515
1,1024,25,"(1152, 384)",0.16751305758953094,0.20755204558372498,0.3264428675174713,0.452551931142807,0.5799177885055542
1,1024,26,"(384, 384)",0.30933377146720886,0.2709546983242035,0.3555976450443268,0.47360631823539734,0.5716262459754944
1,1024,27,"(1024, 384)",0.1675899624824524,0.13852240145206451,0.20688402652740479,0.28523045778274536,0.38107895851135254
1,1024,28,"(1024, 384)",0.1572834700345993,0.1230115294456482,0.17440026998519897,0.2534601092338562,0.356901615858078
1,1024,29,"(384, 1024)",0.4369773268699646,0.36492684483528137,0.4008558392524719,0.4459232687950134,0.4996812641620636
1,2048,0,"(1152, 384)",0.32525038719177246,0.3980708718299866,0.5599904656410217,0.7025138735771179,0.7722296714782715
1,2048,1,"(384, 384)",0.6998468637466431,0.2731435298919678,0.49921536445617676,0.6334376335144043,0.7294498085975647
1,2048,2,"(1024, 384)",0.2995484173297882,0.30130183696746826,0.38329291343688965,0.43774110078811646,0.4913836717605591
1,2048,3,"(1024, 384)",0.2991018295288086,0.32082200050354004,0.4076922535896301,0.46219873428344727,0.5132085084915161
1,2048,4,"(384, 1024)",0.8562243580818176,0.23539945483207703,0.31086787581443787,0.3797692656517029,0.44594210386276245
1,2048,5,"(1152, 384)",0.30624401569366455,0.4663974642753601,0.5530438423156738,0.6543179750442505,0.7363453507423401
1,2048,6,"(384, 384)",0.6202341914176941,0.4839547872543335,0.5819642543792725,0.6606768369674683,0.7271742224693298
1,2048,7,"(1024, 384)",0.26620689034461975,0.29174235463142395,0.4435728192329407,0.4923475682735443,0.5514612197875977
1,2048,8,"(1024, 384)",0.2539306581020355,0.28023117780685425,0.4311867356300354,0.4775230288505554,0.5382971167564392
1,2048,9,"(384, 1024)",0.6718873977661133,0.16556885838508606,0.28392645716667175,0.3559502363204956,0.42448297142982483
1,2048,10,"(1152, 384)",0.5230662822723389,0.6897248029708862,0.7234283685684204,0.7664289474487305,0.8135895133018494
1,2048,11,"(384, 384)",0.7262135744094849,0.49412083625793457,0.617116391658783,0.6627001166343689,0.7188578248023987
