seed,update,parameter_id,parameter_name,shape,rank_label,rank,matrix_block_absmax_mean,residual_block_absmax_mean,scale_reduction_ratio,update_cosine_gain,danger_error_fraction
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",energy_50,3,0.001103143091313541,0.0007309606880880892,0.6626163721084595,0.09573626518249512,0.6661534309387207
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",energy_75,9,0.001103143091313541,0.0005447748117148876,0.49383875727653503,0.1748601794242859,0.6624634861946106
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",energy_90,24,0.001103143091313541,0.0003594165900722146,0.32581138610839844,0.28114765882492065,0.656200110912323
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_1,1,0.010214416310191154,0.00749825919046998,0.7340859174728394,0.058080077171325684,0.8075833320617676
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_2,2,0.010214416310191154,0.006707803346216679,0.6566995978355408,0.08138823509216309,0.8044013381004333
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_4,4,0.010214416310191154,0.005761271808296442,0.5640333890914917,0.12067389488220215,0.8026872277259827
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_8,8,0.010214416310191154,0.004546512849628925,0.44510746002197266,0.1779881715774536,0.808289110660553
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_16,16,0.010214416310191154,0.003380347276106477,0.33093884587287903,0.25471341609954834,0.8032455444335938
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",energy_25,1,0.010214416310191154,0.00749825919046998,0.7340859174728394,0.058080077171325684,0.8075833320617676
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",energy_50,2,0.010214416310191154,0.006707803346216679,0.6566995978355408,0.08138823509216309,0.8044013381004333
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",energy_75,8,0.010214416310191154,0.004546512849628925,0.44510746002197266,0.1779881715774536,0.808289110660553
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",energy_90,23,0.010214416310191154,0.002816394902765751,0.27572745084762573,0.29599785804748535,0.8065279126167297
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",fixed_1,1,0.0017153476364910603,0.0014719030587002635,0.8580785989761353,0.025258123874664307,0.0
