seed,update,parameter_id,parameter_name,shape,rank_label,kind,residual_error_norm,residual_relative_to_R,error_over_M,error_spectral_norm
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_8,structural,0.08332400768995285,0.18166904151439667,0.08818802982568741,0.008653374388813972
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_16,structural,0.06258834153413773,0.17898371815681458,0.06624192744493484,0.006423776503652334
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",energy_25,structural,0.1342698633670807,0.18337556719779968,0.14210784435272217,0.014515233226120472
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",energy_50,structural,0.12092476338148117,0.18283751606941223,0.1279837191104889,0.012557465583086014
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",energy_75,structural,0.08332400768995285,0.18166904151439667,0.08818802982568741,0.008653374388813972
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",energy_90,structural,0.05224679037928581,0.1768440157175064,0.05529668927192688,0.005346924997866154
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",fixed_1,structural,0.036802686750888824,0.19137965142726898,0.16450901329517365,0.005391380749642849
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",fixed_2,structural,0.03353647515177727,0.19387808442115784,0.14990895986557007,0.004656737670302391
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",fixed_4,structural,0.0295860692858696,0.19432230293750763,0.13225053250789642,0.0037559056654572487
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",fixed_8,structural,0.026083359494805336,0.1945529282093048,0.11659333109855652,0.0028446479700505733
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",fixed_16,structural,0.021789945662021637,0.19247546792030334,0.09740164875984192,0.0020726784132421017
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",energy_25,structural,0.036802686750888824,0.19137965142726898,0.16450901329517365,0.005391380749642849
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",energy_50,structural,0.0295860692858696,0.19432230293750763,0.13225053250789642,0.0037559056654572487
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",energy_75,structural,0.02142774686217308,0.1921531856060028,0.09578261524438858,0.002007383154705167
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",energy_90,structural,0.013101295568048954,0.18544380366802216,0.058563150465488434,0.0010948203271254897
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",fixed_1,structural,0.03602374717593193,0.1912342756986618,0.16742756962776184,0.0059518287889659405
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",fixed_2,structural,0.032963015139102936,0.1932123601436615,0.15320220589637756,0.005129508674144745
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",fixed_4,structural,0.02923569455742836,0.19415977597236633,0.13587874174118042,0.0038135810755193233
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",fixed_8,structural,0.025632813572883606,0.19461901485919952,0.11913362890481949,0.002889913273975253
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",fixed_16,structural,0.021441243588924408,0.19363540410995483,0.09965246915817261,0.00200406345538795
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",energy_25,structural,0.032963015139102936,0.1932123601436615,0.15320220589637756,0.005129508674144745
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",energy_50,structural,0.02923569455742836,0.19415977597236633,0.13587874174118042,0.0038135810755193233
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",energy_75,structural,0.02071637287735939,0.19289200007915497,0.09628348797559738,0.001959216082468629
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",energy_90,structural,0.012761348858475685,0.18758097290992737,0.0593109205365181,0.0010628117015585303
