seed,update,parameter_id,shape,reference_method,vq_method,raw_ratio_vq_over_reference,gram_ratio_vq_over_reference,gram_spectral_ratio_vq_over_reference,tail_subspace_ratio_vq_over_reference,update_distortion_ratio_vq_over_reference,exact_polar_distortion_ratio_vq_over_reference,raw_error_delta_vq_minus_reference,gram_error_delta_vq_minus_reference,update_distortion_delta_vq_minus_reference
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8260285394311985,0.9573935362665053,1.0948550645581483,0.8788940622484014,0.6563095207482788,0.652863410422815,-0.0332152396440506,-0.0025355666875839233,-0.034256160259246826
0,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8358327144492322,0.9865652771469162,1.0927731135863272,0.8814025376015049,0.6765231766522201,0.668637388776754,-0.030623793601989746,-0.0007175244390964508,-0.03316962718963623
0,512,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.843877510939612,0.9559558960952652,1.1199502655274092,0.8588106069868991,0.6668566563999138,0.6638260524573677,-0.03227896988391876,-0.004554584622383118,-0.032608866691589355
0,512,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7533780020437342,0.8334830589231917,0.8061017878686038,0.9728206788356226,0.790598640644649,0.7986604667927595,-0.031208805739879608,-0.0036935489624738693,-0.08213096857070923
0,512,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.745261813900848,0.8076693588669285,0.7193877466249498,0.9723483723857738,0.7932300293881913,0.8456220455124566,-0.03337179869413376,-0.0052499473094940186,-0.08303475379943848
0,512,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8233647934281352,0.947988201789277,0.9663126612905542,0.8766347828101008,0.6659445356441526,0.6561202063378662,-0.032860055565834045,-0.002970021218061447,-0.03733372688293457
0,512,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8293743167222827,0.9791529055802041,1.05571402016699,0.8806049008756471,0.672583029027016,0.6645766193663846,-0.031987205147743225,-0.001300722360610962,-0.037169456481933594
0,512,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8456676070840811,0.9494385559155659,1.0088586642567532,0.8631101747770046,0.6623405285429543,0.658574301575433,-0.030910328030586243,-0.003985360264778137,-0.03200870752334595
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7514002914297704,0.8355103618652916,0.8443260815699201,0.9800473995716174,0.7891179677563487,0.7982189912114982,-0.03197377175092697,-0.004501035436987877,-0.08324199914932251
0,512,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7472574760149017,0.8184922101406885,0.8343598600648231,0.9725146296052799,0.7973876714119271,0.8569580864362999,-0.03299083560705185,-0.005331525579094887,-0.08149224519729614
0,512,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8281920463099705,0.9839475165557885,1.0546502681349588,0.8942544508242916,0.6880676110472141,0.6775063904302632,-0.0319790244102478,-0.0009450539946556091,-0.03831213712692261
0,512,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8354703556693465,0.9853849369676294,0.9933865407404461,0.9016916048959939,0.6866174532647611,0.6708486937789573,-0.030381083488464355,-0.0008376650512218475,-0.040042757987976074
0,512,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8555847899784674,0.9539492238540641,0.9501359082300529,0.8651906991649673,0.6710958382988549,0.6650993607745593,-0.026696816086769104,-0.0022378861904144287,-0.031074583530426025
0,512,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7520915252667171,0.8385302163682612,0.7715884427244799,0.9807641040389389,0.7983320023800001,0.8147227235055753,-0.029908090829849243,-0.004122905433177948,-0.08183938264846802
0,512,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7435668377974113,0.7521061743877899,0.6108203511791019,0.9760850824994789,0.7877182895287924,0.866937732664798,-0.029702574014663696,-0.005608854815363884,-0.08492261171340942
0,512,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.821533597570983,0.973626207268192,1.0761623095488988,0.8799233559121697,0.6980340227683832,0.6786438738312257,-0.03028470277786255,-0.0011318624019622803,-0.04270637035369873
0,512,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8227382529836522,0.9572649061952494,0.93213792477104,0.9060960897094319,0.7060229919282767,0.680835055437905,-0.030371740460395813,-0.0018384195864200592,-0.04189932346343994
0,512,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8258482190599482,0.9061936457212644,0.7955864283006155,0.847052134602898,0.6502287542005749,0.6421658218133746,-0.028852149844169617,-0.0028682779520750046,-0.032955169677734375
0,1024,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.748327518783196,0.7976219405191414,0.7640638220838356,0.9589721600369042,0.7321572509515722,0.7379588086286561,-0.0317196398973465,-0.005069473758339882,-0.08439326286315918
0,1024,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7487263873431288,0.8104595208674977,0.7590352023540631,0.9534865077999686,0.7575667520384513,0.8177234363441791,-0.03197413682937622,-0.005327481776475906,-0.08645308017730713
0,1024,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7977424242501897,0.9182474388625856,0.9393935238634772,0.838447497784979,0.615002721867997,0.6097343668680658,-0.03528308868408203,-0.002410734072327614,-0.02567189931869507
0,1024,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8055894245815178,0.9101478036371193,0.8769956560654751,0.8447405380387513,0.6287360800711526,0.626433135527588,-0.03427763283252716,-0.0029732994735240936,-0.025328516960144043
0,1024,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8240792238220662,0.922864099863919,0.963102507727915,0.8591982961758,0.6500971156738283,0.6522018381926742,-0.0353216677904129,-0.0058640167117118835,-0.033490657806396484
0,1024,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7465153856077401,0.8051640499556086,0.7751599226420708,0.9536447047757854,0.7578355808333269,0.7550091238696233,-0.033290594816207886,-0.004742046818137169,-0.08424454927444458
0,1024,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7413305634596528,0.7643096737895616,0.6941471393920061,0.9702465403337944,0.7553139807518108,0.8405109661436229,-0.02717459201812744,-0.0030291015282273293,-0.09090322256088257
0,1024,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8455414190722058,0.9658368564830085,0.9941487617955275,0.8591207389420584,0.6789039736012428,0.6676094232233757,-0.025945618748664856,-0.0010421257466077805,-0.02915036678314209
0,1024,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8564685984383057,0.9791777201541189,0.9353595775031405,0.9042812088613683,0.6955072975734371,0.6835817305648249,-0.024203673005104065,-0.0006618481129407883,-0.02861684560775757
0,1024,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8785143545826154,0.9865059774245962,1.0858262904811575,0.894409858063359,0.7083025535400767,0.6979999441339899,-0.023861736059188843,-0.0009343326091766357,-0.031114816665649414
0,1024,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7558504467061499,0.998707832788375,1.0261154958753953,0.9690193179146465,0.6848374254345724,0.7665645771105012,-0.01730481907725334,-1.1366792023181915e-05,-0.09399765729904175
0,1024,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8429816874786457,0.9684602638122224,0.9935653131890476,0.9666168102282193,0.7595976889985805,0.8471975622489583,-0.016832418739795685,-0.00041776150465011597,-0.08302313089370728
0,1024,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8249578196052586,0.9485152033837891,0.8852408021699404,0.8769773512830427,0.6713730503707491,0.6625797555964097,-0.031201675534248352,-0.0018703751266002655,-0.03447335958480835
0,1024,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8376131218978565,0.9836618973189634,0.974467967503272,0.8813186923189993,0.6848349666479542,0.6754414905991583,-0.029461100697517395,-0.0006695762276649475,-0.03383117914199829
0,1024,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8418113418062728,0.9562957773501161,1.1114471960221295,0.8730733636357583,0.665928525235624,0.6648983679006146,-0.03348188102245331,-0.004860781133174896,-0.03208363056182861
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7546432121894596,0.8146425757054444,0.7685773570616885,0.9684928913630441,0.7711972204276353,0.7900829876218707,-0.027707695960998535,-0.002830740064382553,-0.08348739147186279
0,1024,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7644134282352583,0.824408192145168,0.7994122983176151,0.9694824003379865,0.7709056770971288,0.8373747418013011,-0.027869977056980133,-0.0030868789181113243,-0.08428990840911865
0,1024,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8175687245515487,0.9635225791621067,1.081920419237812,0.8733880576761409,0.6623398293559356,0.6601745176152373,-0.03525972366333008,-0.0023929625749588013,-0.036064326763153076
0,1024,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8269534362349739,0.9742128691201145,1.1277142439993328,0.8805189967892881,0.6675319228738396,0.6618262687018471,-0.03353823721408844,-0.0017872601747512817,-0.0366671085357666
0,1024,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8284022132222952,0.9292691740848783,1.0934592443092699,0.866509366220426,0.6481391852648998,0.6466378489095217,-0.035944223403930664,-0.007357023656368256,-0.03102576732635498
0,1024,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7463819614342391,0.8207906756414403,0.7903663873533185,0.9771479820111325,0.7994950337070549,0.8009385813731967,-0.03488440066576004,-0.00587121956050396,-0.0775519609451294
0,1024,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7441261650153955,0.7963344459387048,0.7715532861633401,0.9760246793258688,0.796511507483953,0.8493522647003805,-0.03562932461500168,-0.006377361714839935,-0.07846695184707642
0,1024,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8247232565362003,0.9518455420305387,1.0005198369052215,0.8774220476029938,0.6733267180470481,0.6690650400193499,-0.03522062301635742,-0.0040010735392570496,-0.0365370512008667
