seed,update,parameter_id,parameter_name,shape,method,update_cosine,update_relative_l2,update_norm_ratio,update_distortion,exact_polar_cosine,exact_polar_relative_l2,exact_polar_distortion,cached_update_source
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.7171908617019653,0.7851752638816833,1.078938603401184,0.28280913829803467,0.6514434814453125,0.8349336385726929,0.3485565185546875,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.8761054873466492,0.4990176558494568,1.0048260688781738,0.12389451265335083,0.8711448907852173,0.5076614618301392,0.12885510921478271,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.9091879725456238,0.4262453317642212,1.0002782344818115,0.09081202745437622,0.905357837677002,0.43507829308509827,0.09464216232299805,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.9422499537467957,0.3396559953689575,0.998712956905365,0.057750046253204346,0.9398753046989441,0.34678635001182556,0.06012469530105591,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.9401611089706421,0.3460886478424072,1.0007303953170776,0.05983889102935791,0.9383907914161682,0.35104015469551086,0.06160920858383179,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.8750038743019104,0.5012667179107666,1.004969596862793,0.1249961256980896,0.8694328665733337,0.5110229253768921,0.13056713342666626,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.9061848521232605,0.43318885564804077,1.0000463724136353,0.0938151478767395,0.9025376439094543,0.44151490926742554,0.09746235609054565,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.9402514100074768,0.34570828080177307,1.0000492334365845,0.05974858999252319,0.9380719661712646,0.3519502580165863,0.06192803382873535,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.9373053312301636,0.353804349899292,0.9981907606124878,0.06269466876983643,0.9358437657356262,0.35822299122810364,0.06415623426437378,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.800520122051239,0.6287871599197388,0.9907708764076233,0.199479877948761,0.7977912425994873,0.6359438300132751,0.2022087574005127,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8640859127044678,0.5175394415855408,0.9844171404838562,0.13591408729553223,0.8653154373168945,0.5190178155899048,0.13468456268310547,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.893293023109436,0.4593675434589386,0.9880492687225342,0.10670697689056396,0.8951954245567322,0.4578433334827423,0.10480457544326782,muon_int3_practical_scale/tensor_level_results.csv
