seed,update,parameter_id,parameter_name,shape,method,right_gram_linear_relative_fro,right_gram_quadratic_relative_fro,right_gram_quadratic_over_delta_fro,left_gram_linear_relative_fro,left_gram_quadratic_relative_fro,left_gram_quadratic_over_delta_fro
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.04505717009305954,0.0061322771944105625,0.1376142054796219,0.04426172748208046,0.006132274866104126,0.14014406502246857
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.022130852565169334,0.00250251404941082,0.11531725525856018,0.022871633991599083,0.002502515446394682,0.11144045740365982
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.015803078189492226,0.0013179813977330923,0.08331785351037979,0.01573886163532734,0.0013179811649024487,0.08365713804960251
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.017853625118732452,0.0014574703527614474,0.08370322734117508,0.01797386072576046,0.0014574725646525621,0.08311504870653152
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.058047257363796234,0.008148892782628536,0.14256234467029572,0.05945046246051788,0.008148979395627975,0.13909757137298584
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.03717042878270149,0.005252306815236807,0.14891915023326874,0.04080193117260933,0.005252351053059101,0.13440656661987305
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.022091098129749298,0.002696770243346691,0.12332037091255188,0.026690294966101646,0.002696800045669079,0.1017431765794754
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.03738962486386299,0.00441259890794754,0.1261618435382843,0.03900964930653572,0.004412581212818623,0.12022582441568375
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.058185454457998276,0.008427812717854977,0.1467427760362625,0.06356758624315262,0.008427897468209267,0.13403324782848358
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.04075264930725098,0.005839779507368803,0.15069380402565002,0.04491400346159935,0.005839821416884661,0.1354709416627884
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.024459557607769966,0.0030372077599167824,0.12528347969055176,0.02966453693807125,0.0030372438486665487,0.10300635546445847
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.041157640516757965,0.004904003813862801,0.12736961245536804,0.0433184877038002,0.004904001485556364,0.12018449604511261
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.10705298185348511,0.014968044124543667,0.1444627344608307,0.1011529192328453,0.014967975206673145,0.15351168811321259
