seed,update,parameter_id,shape,method_a,method_b,raw_relative_difference,raw_error_a,raw_error_b,gram_error_a,gram_error_b,update_distortion_a,update_distortion_b,smaller_gram_method,smaller_update_distortion_method,gram_orders_update
0,4096,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,structural_vq64_int3_k8,0.04771940556193671,0.1572260707616806,0.16491219401359558,0.05525561422109604,0.07924295961856842,0.04932081699371338,0.05001187324523926,structural_int4_k8,structural_int4_k8,True
0,4096,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.04409601302186237,0.20716571807861328,0.21650685369968414,0.12140362709760666,0.12395644187927246,0.06432116031646729,0.06970280408859253,direct_scalar_int4,direct_scalar_int4,True
0,4096,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,structural_vq64_int3_k8,0.022830135359954252,0.16605481505393982,0.1698896437883377,0.09054388105869293,0.10378089547157288,0.04327040910720825,0.04220980405807495,structural_int4_k8,structural_vq64_int3_k8,False
0,4096,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.029277164464165836,0.1100471243262291,0.1133168563246727,0.024064064025878906,0.02970370091497898,0.2753129005432129,0.27227818965911865,structural_int4_k8,structural_vq64_int3_k8,False
0,4096,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.016736412958669688,0.11505069583654404,0.11699248105287552,0.025723345577716827,0.028732286766171455,0.2471422553062439,0.25115615129470825,structural_int4_k8,structural_int4_k8,True
0,4096,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.04143258040114826,0.20983818173408508,0.20132049918174744,0.08675705641508102,0.07197854667901993,0.07862597703933716,0.0719636082649231,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,4096,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,structural_vq64_int3_k8,0.03253862156390499,0.15725329518318176,0.1624547243118286,0.052517782896757126,0.06319738924503326,0.04727602005004883,0.04471385478973389,structural_int4_k8,structural_vq64_int3_k8,False
0,4096,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.02599773696801592,0.11289101839065552,0.1158645823597908,0.02967062033712864,0.03822701424360275,0.315224826335907,0.31469088792800903,structural_int4_k8,structural_vq64_int3_k8,False
0,4096,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.022849640867354103,0.10850861668586731,0.1110166534781456,0.023801857605576515,0.027444027364253998,0.267081618309021,0.2686305046081543,structural_int4_k8,structural_int4_k8,True
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.028229094858653284,0.09006532281637192,0.09264418482780457,0.014517414383590221,0.0167461596429348,0.20607012510299683,0.20729678869247437,structural_int4_k8,structural_int4_k8,True
1,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03764450820009235,0.09038670361042023,0.09385453909635544,0.016660477966070175,0.018518269062042236,0.23425543308258057,0.2414754033088684,structural_int4_k8,structural_int4_k8,True
1,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03850185340350533,0.09218389540910721,0.09580281376838684,0.017845483496785164,0.021344633772969246,0.26766735315322876,0.27628403902053833,structural_int4_k8,structural_int4_k8,True
1,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.04273862682843241,0.08678233623504639,0.0905722826719284,0.015249386429786682,0.01810973882675171,0.2857890725135803,0.2890039086341858,structural_int4_k8,structural_int4_k8,True
1,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.0385042838535701,0.08373051881790161,0.08701778948307037,0.01459458190947771,0.016978411003947258,0.282978355884552,0.28690946102142334,structural_int4_k8,structural_int4_k8,True
1,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.026480014926097056,0.08306460082530975,0.08529366552829742,0.014238988980650902,0.016014786437153816,0.29701006412506104,0.2991841435432434,structural_int4_k8,structural_int4_k8,True
1,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03149221364413065,0.07680267095565796,0.07926005125045776,0.012440024875104427,0.013629678636789322,0.28680866956710815,0.2897082567214966,structural_int4_k8,structural_int4_k8,True
1,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.035876448275166416,0.07779739797115326,0.08063947409391403,0.012447129003703594,0.014953766949474812,0.30554211139678955,0.3054981827735901,structural_int4_k8,structural_vq64_int3_k8,False
1,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.02749243812224899,0.065803661942482,0.06763797998428345,0.008162310346961021,0.008877246640622616,0.278014600276947,0.27791595458984375,structural_int4_k8,structural_vq64_int3_k8,False
1,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03212259885216866,0.07305103540420532,0.07543592900037766,0.01103676576167345,0.012173490598797798,0.3016743063926697,0.3026409149169922,structural_int4_k8,structural_int4_k8,True
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03287378669827012,0.056941285729408264,0.058844443410634995,0.006596933584660292,0.006875710561871529,0.2669849395751953,0.2629457116127014,structural_int4_k8,structural_vq64_int3_k8,False
1,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.027200818095868204,0.05916440859436989,0.060795918107032776,0.007926673628389835,0.008055177517235279,0.27828943729400635,0.2721576690673828,structural_int4_k8,structural_vq64_int3_k8,False
1,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03677405056058488,0.0866551622748375,0.08990151435136795,0.015440201386809349,0.01770932227373123,0.2243611216545105,0.22602498531341553,structural_int4_k8,structural_int4_k8,True
