objective,target_bits,parameter_id,rank,increment_bytes,gain,gain_per_byte
frobenius,0.25,16,2,1536,0.0019401384658992438,1.2631109804031534e-06
frobenius,0.25,2,1,2816,0.003401609625324875,1.207957963538663e-06
frobenius,0.25,3,1,2816,0.003379520062875563,1.2001136586916062e-06
frobenius,0.25,7,1,2816,0.0031066569543157785,1.1032162479814554e-06
frobenius,0.25,6,4,3072,0.003352910836831091,1.0914423296976207e-06
frobenius,0.25,0,1,3072,0.0032749162509050356,1.0660534670914829e-06
frobenius,0.25,8,1,2816,0.002962590501147666,1.0520562859189155e-06
frobenius,0.25,11,4,3072,0.003136868490281164,1.0211160450133998e-06
frobenius,0.25,4,4,5632,0.005324529776164821,9.454065653701742e-07
frobenius,0.25,29,2,2816,0.0025827781073972655,9.171797256382335e-07
frobenius,0.25,1,8,6144,0.005563099444303665,9.054523835129663e-07
frobenius,0.25,0,2,3072,0.002651677342006664,8.631762181011277e-07
frobenius,0.25,14,1,2816,0.002157948600327142,7.663169745479907e-07
frobenius,0.25,9,4,5632,0.003994818116435428,7.093071939693587e-07
frobenius,0.25,11,8,6144,0.003794478454479,6.175908942836914e-07
frobenius,0.25,24,2,2816,0.0016656307846877327,5.914882047896779e-07
frobenius,0.25,4,8,11264,0.006090731359423729,5.407254402897486e-07
frobenius,0.25,10,2,3072,0.0016017036488227276,5.21387906517815e-07
frobenius,0.25,6,8,6144,0.002994477390125483,4.873823877157361e-07
frobenius,0.25,16,4,3072,0.0014627077652483722,4.7614185066678784e-07
frobenius,0.25,19,1,2816,0.0012993443877222788,4.61414910412741e-07
frobenius,0.25,13,1,2816,0.0012838430799076983,4.559101846263133e-07
frobenius,0.25,19,2,2816,0.0012597759102536132,4.473636044934706e-07
frobenius,0.25,26,1,1536,0.000685625733437556,4.4637092020674216e-07
frobenius,0.25,26,2,1536,0.0009797330593086517,6.378470438207368e-07
frobenius,0.25,11,16,12288,0.005403585972811986,4.397449522145171e-07
frobenius,0.25,12,1,2816,0.0012242684837723283,4.3475443315778703e-07
frobenius,0.25,3,2,2816,0.0011962844672815942,4.248169273017025e-07
frobenius,0.25,5,2,3072,0.0012464426128200312,4.057430380273539e-07
frobenius,0.25,9,8,11264,0.004547256716776582,4.0369821704337554e-07
frobenius,0.25,14,2,2816,0.0010862323742801827,3.8573592836654214e-07
frobenius,0.25,2,2,2816,0.0010816131649042937,3.840955841279452e-07
frobenius,0.25,8,2,2816,0.0010458717355016356,3.714033151639331e-07
frobenius,0.25,7,2,2816,0.0010211968442982444,3.6264092482181973e-07
frobenius,0.25,18,1,2816,0.0010159784796858196,3.6078781238843025e-07
frobenius,0.25,17,1,2816,0.0009999779900954353,3.551058203463904e-07
frobenius,0.25,4,16,22528,0.0079673554960622,3.536645728010565e-07
frobenius,0.25,21,4,3072,0.0010850408467509842,3.53203400635086e-07
frobenius,0.25,14,4,5632,0.001961557534771008,3.4828791455451134e-07
frobenius,0.25,16,8,6144,0.0020966288883755846,3.412481914673803e-07
frobenius,0.25,27,1,2816,0.0009038712440527785,3.20977004280106e-07
frobenius,0.25,29,4,5632,0.0017988578764362995,3.193994809013316e-07
frobenius,0.25,15,2,3072,0.0009404954766774054,3.0615087131425955e-07
frobenius,0.25,1,16,12288,0.0037132621701420065,3.0218604900244194e-07
frobenius,0.25,10,4,6144,0.0017907637948386679,2.914654613995228e-07
frobenius,0.25,21,8,6144,0.001694947406412961,2.7587034609585954e-07
frobenius,0.25,0,4,6144,0.001669705943342925,2.717620350493042e-07
frobenius,0.25,19,4,5632,0.0015282331151151851,2.7134820935994053e-07
frobenius,0.25,9,16,22528,0.005952576094784168,2.6423011784375745e-07
frobenius,0.25,20,2,3072,0.00080540572465293,2.62176342660459e-07
frobenius,0.25,29,8,11264,0.0029048374761483364,2.578868498001009e-07
frobenius,0.25,6,16,12288,0.0029933154389620853,2.4359663403011764e-07
frobenius,0.25,24,4,5632,0.001318707128477814,2.3414544184620277e-07
frobenius,0.25,28,1,2816,0.0005860485579354258,2.0811383449411427e-07
k5_aware,0.25,21,1,1536,6.906567722911316e-05,4.496463361270388e-08
k5_aware,0.25,20,1,3072,0.00012302790916202122,4.004814751367878e-08
k5_aware,0.25,1,1,1536,6.0759175221025696e-05,3.9556754701188607e-08
k5_aware,0.25,1,2,1536,7.255190047802951e-05,4.723431020705046e-08
k5_aware,0.25,1,4,3072,0.00013957747593340564,4.543537628040548e-08
k5_aware,0.25,1,8,6144,0.0002419703632277892,3.9383197139939646e-08
k5_aware,0.25,1,16,12288,0.0005206499617345095,4.237060235469641e-08
k5_aware,0.25,1,32,24576,0.0011579666483836626,4.71177835442571e-08
