seed,update,parameter_id,shape,method,actual_polar_cosine,actual_polar_distortion,cached_polar_cosine,predicted_polar_distortion,predicted_relative_l2,magnitude_delta_norm,symmetric_delta_norm,skew_delta_norm,outside_delta_norm
1,1024,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7244185678333469,0.2755814321666531,0.7244196534156799,0.3987298991832462,1.3289357241302469,0.0,0.0,13.574190599774472,22.224088890902973
1,1024,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.544084579562125,0.45591542043787503,0.544085681438446,0.6872976540102785,3.037567727015213,0.0,0.0,30.777310757565676,50.949424340669395
1,2048,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7009796949110647,0.2990203050889353,0.7009807229042053,0.4246475403766792,1.4215775978895382,0.0,0.0,15.454839058769606,23.17682143973493
1,2048,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7717477044216277,0.22825229557837234,0.7717490792274475,0.3222872374085263,1.0850162923976712,0.0,0.0,11.730817368245477,17.732873193973326
1,2048,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7741183542108587,0.22588164578914127,0.7741193771362305,0.3066084689379057,1.039187315786004,0.0,0.0,11.29919820256199,16.94144800594761
1,2048,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5620420380145755,0.43795796198542447,0.5620430707931519,0.6443524901768571,2.627946703566601,0.0,0.0,29.318786793277894,42.33611007962153
1,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7311656285277854,0.26883437147221456,0.7311668992042542,0.3694148445442773,1.230800606982012,0.0,0.0,12.682756353540537,20.514760965741257
1,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.8054532520612524,0.1945467479387476,0.8054547905921936,0.26607223195411944,0.9254755802216271,0.0,0.0,9.556287877106756,15.413433691317564
1,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.8021102383194537,0.19788976168054628,0.8021117448806763,0.2618494104788901,0.9139607929639857,0.0,0.0,9.353805231274993,15.273164015006806
1,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5790396175089041,0.4209603824910959,0.5790404677391052,0.6300920450348011,2.5116323907665414,0.0,0.0,25.64058442531925,42.01114712794118
1,2048,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6943507373674258,0.3056492626325742,0.6943517923355103,0.44342161693011195,1.4926899410166676,0.0,0.0,15.599555317802812,24.74368969785528
