seed,update,parameter_id,shape,method,epsilon,direction_cosine,relative_l2_mismatch,finite_difference_norm_ratio
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.03,0.9998400807380676,0.017992256209254265,0.9997727274894714
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.1,0.998199462890625,0.06005304306745529,0.9960014224052429
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.3,0.9836040735244751,0.18166884779930115,0.9617828130722046
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0,0.82675701379776,0.5760737061500549,0.7027192711830139
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01,0.9999841451644897,0.006033445242792368,1.0003025531768799
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.03,0.9998396039009094,0.018102731555700302,1.0006252527236938
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.1,0.9981805682182312,0.060339994728565216,0.9988172054290771
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.3,0.9834162592887878,0.18191225826740265,0.9694743156433105
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,1.0,0.8236011862754822,0.57753986120224,0.7146610021591187
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.01,0.9999018907546997,0.014315997250378132,0.9998345375061035
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.03,0.9990803599357605,0.043010469526052475,0.9977221488952637
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.1,0.9895550012588501,0.14517293870449066,0.9726660847663879
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.3,0.9041221141815186,0.4382963478565216,0.80646812915802
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1.0,0.6132005453109741,0.8242627382278442,0.3777801990509033
1,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01,0.9999680519104004,0.008337501436471939,1.000213623046875
1,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.03,0.9996894598007202,0.025003967806696892,1.000142216682434
1,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.1,0.9965202212333679,0.08339793980121613,0.994669497013092
