seed,update,parameter_id,parameter_name,shape,method,frechet_distortion_pred,actual_update_distortion,actual_frechet_cosine_error_difference,frechet_relative_l2,actual_update_relative_l2,sigma_max,sigma_min,condition_number_proxy,state_error_relative_fro,quadratic_gram_ratio
0,2048,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5855615139007568,0.42983728647232056,0.15572422742843628,2.1991448402404785,0.9479892253875732,0.08027219772338867,0.00011597810953389853,692.13232421875,0.1954520344734192,0.16613629460334778
0,1024,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6415864527225494,0.4879300594329834,0.15365639328956604,2.6028223037719727,1.0137145519256592,0.19268473982810974,0.00016601425886619836,1160.6517333984375,0.20096635818481445,0.10614550113677979
1,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.683326929807663,0.5296751260757446,0.15365180373191833,2.9781880378723145,1.091813564300537,0.17963847517967224,6.900460721226409e-05,2603.2822265625,0.19091272354125977,0.11672411859035492
1,1024,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6404156386852264,0.4870370030403137,0.15337863564491272,2.5938408374786377,1.0287816524505615,0.5142955780029297,2.6976231310982257e-06,190647.671875,0.20037849247455597,0.114312544465065
0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6613232493400574,0.5081838369369507,0.1531394124031067,2.7664287090301514,1.0638861656188965,0.4847295880317688,2.8302545160840964e-06,171267.140625,0.19287680089473724,0.13228918612003326
1,2048,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.5633448958396912,0.4103977680206299,0.15294712781906128,2.048297166824341,0.9333513975143433,0.3589186668395996,5.218541446083691e-06,68777.5859375,0.2013292908668518,0.11807367205619812
0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6889716386795044,0.5366685092449188,0.15230312943458557,3.06111216545105,1.1027864217758179,0.19001081585884094,6.195784953888506e-05,3066.775634765625,0.1879076510667801,0.10957478731870651
1,512,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6631326079368591,0.511101484298706,0.15203112363815308,2.7889010906219482,1.0535916090011597,0.13836170732975006,0.00012106716894777492,1142.850830078125,0.19425898790359497,0.13510598242282867
0,1024,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.5941378474235535,0.4421178102493286,0.15202003717422485,2.2530999183654785,0.9745455384254456,0.20535558462142944,2.0915786080877297e-06,98182.1015625,0.1895366758108139,0.1424436718225479
0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6655424535274506,0.5135931372642517,0.15194931626319885,2.81638503074646,1.0690826177597046,0.16906805336475372,7.14275156497024e-05,2366.98779296875,0.18866373598575592,0.12053856253623962
1,128,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6793899834156036,0.5275959372520447,0.15179404616355896,2.9640445709228516,1.0934332609176636,0.5143643021583557,1.4575413160855533e-06,352898.59375,0.1928221732378006,0.12496627867221832
1,4096,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.5507456660270691,0.399105429649353,0.15164023637771606,1.9815497398376465,0.9208709001541138,0.4034053087234497,9.017369251296259e-08,4473647.5,0.20310422778129578,0.1113734170794487
1,1024,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6267755031585693,0.4751814603805542,0.15159404277801514,2.496324062347412,1.0179582834243774,0.3501989543437958,2.0967904674762394e-06,167016.671875,0.18891163170337677,0.1333782970905304
1,512,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6338619589805603,0.4823119640350342,0.15154999494552612,2.5568418502807617,1.0134068727493286,0.1292835772037506,0.0001286573096876964,1004.8677368164062,0.19554303586483002,0.13346798717975616
1,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.665505439043045,0.5141286551952362,0.15137678384780884,2.8045637607574463,1.0740824937820435,0.5054863095283508,1.1777756014907936e-07,4291873.0,0.19109728932380676,0.13303807377815247
1,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6386025547981262,0.48725181818008423,0.151350736618042,2.5803425312042236,1.0367149114608765,0.5043668150901794,6.644666541433253e-07,759055.125,0.18837152421474457,0.1362370103597641
1,2048,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5973177254199982,0.4460301399230957,0.15128758549690247,2.272501230239868,0.9625129103660583,0.2013694792985916,0.00019571662414819002,1028.8828125,0.20518934726715088,0.12101397663354874
0,4096,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5941928327083588,0.4431595802307129,0.15103325247764587,2.2460105419158936,0.9660521149635315,0.2555473744869232,0.0001841924386098981,1387.3934326171875,0.19675154983997345,0.10973288118839264
1,512,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.636172741651535,0.4852064847946167,0.15096625685691833,2.5372397899627686,1.0290143489837646,0.4164614975452423,7.265205681505904e-07,573227.375,0.19293111562728882,0.13822896778583527
0,2048,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.5729037523269653,0.4220116138458252,0.15089213848114014,2.115577220916748,0.9520823955535889,0.1716526448726654,4.8234557681325896e-08,3558706.75,0.18637634813785553,0.14719262719154358
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6428722739219666,0.4919874668121338,0.15088480710983276,2.5931499004364014,1.04104483127594,0.5028506517410278,1.5958027006490738e-06,315108.28125,0.1924431174993515,0.13301678001880646
0,1024,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6068565845489502,0.4560897946357727,0.1507667899131775,2.338852882385254,0.9797584414482117,0.09491747617721558,0.00011569575872272253,820.4058227539062,0.1916809231042862,0.15319879353046417
0,1024,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6141423285007477,0.4640468955039978,0.15009543299674988,2.3815009593963623,0.9975627660751343,0.374111145734787,1.0200835731666302e-06,366745.59375,0.19179867208003998,0.12620578706264496
0,128,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6741373240947723,0.5242783427238464,0.1498589813709259,2.9047796726226807,1.0856568813323975,0.513049304485321,3.0028490982658695e-06,170854.171875,0.19307395815849304,0.1196998730301857
1,4096,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.5181450843811035,0.36846333742141724,0.14968174695968628,1.8205857276916504,0.8855217099189758,0.12506850063800812,8.685162100618982e-08,1440025.0,0.18232862651348114,0.16019131243228912
0,512,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.619686096906662,0.4700589179992676,0.1496271789073944,2.4406116008758545,1.0014967918395996,0.10701633244752884,0.00011278762394795194,948.8304443359375,0.18745437264442444,0.1493556946516037
