scope,outcome,predictor,n,pearson,spearman,method,shape,seed
per_method,actual_polar_distortion,frozen_norm_frechet_distortion_pred,300,0.9716183481767905,0.9799357770641896,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,magnitude_only,300,0.8747797146539656,0.8559480500836785,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,symmetric_only,300,0.9441434681975256,0.9907443416037954,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,skew_only,300,0.9782936746582871,0.9927354748386094,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,out_of_subspace_only,300,0.18491515131390154,0.08031220056116962,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,orientation_plus_outside,300,0.9116648789725934,0.9532168135201501,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,all_channels,300,0.9716614708681904,0.9798219980222003,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,jvp_output_relative_l2,30,0.8785332009797113,0.8518353726362626,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,jvp_predicted_cosine_distortion,30,0.8806188806044456,0.8527252502780869,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,exact_polar_pred_distortion,30,0.9957140925218998,0.9906562847608454,structural_vq64_int3_k8,,
per_method,actual_update_distortion,raw_relative_l2,300,-0.2837012282673441,-0.18829853665040722,direct_scalar_int4,,
per_method,actual_update_distortion,right_gram_relative_fro,300,-0.4850711565420005,-0.4450445004944499,direct_scalar_int4,,
per_method,actual_update_distortion,right_gram_relative_spectral,300,-0.37693879544102277,-0.2715003500038889,direct_scalar_int4,,
per_method,actual_update_distortion,tail_angle,300,0.9436821283650815,0.9613800153335036,direct_scalar_int4,,
per_method,actual_update_distortion,prior_gap_proxy,300,0.14477372396342195,0.8948126090289892,direct_scalar_int4,,
per_method,actual_update_distortion,gap_skew_score,300,0.35597517998965833,0.894170824120268,direct_scalar_int4,,
per_method,actual_update_distortion,sigma_sum_skew_score,300,0.5534227536577331,0.9694574384159823,direct_scalar_int4,,
per_method,actual_update_distortion,finite_k_skew_score,300,0.8875254913126093,0.9822171357459527,direct_scalar_int4,,
per_method,actual_update_distortion,frechet_relative_l2,300,0.9891426200237675,0.9965399615551283,direct_scalar_int4,,
per_method,actual_update_distortion,frechet_distortion_pred,300,0.9986589835488063,0.9964964055156168,direct_scalar_int4,,
per_method,actual_update_distortion,frozen_norm_frechet_distortion_pred,300,0.9986639915807066,0.9967097412193467,direct_scalar_int4,,
per_method,actual_update_distortion,magnitude_only,300,0.829683224573652,0.9621099081223082,direct_scalar_int4,,
per_method,actual_update_distortion,symmetric_only,300,0.9166169329419434,0.9762859587328746,direct_scalar_int4,,
per_method,actual_update_distortion,skew_only,300,0.9658980422609301,0.9822158023978044,direct_scalar_int4,,
per_method,actual_update_distortion,out_of_subspace_only,300,0.4123941046642932,0.19791741512144864,direct_scalar_int4,,
per_method,actual_update_distortion,orientation_plus_outside,300,0.9944311755436234,0.9851131679240879,direct_scalar_int4,,
per_method,actual_update_distortion,all_channels,300,0.9986589836407374,0.9964964055156168,direct_scalar_int4,,
per_method,actual_update_distortion,jvp_output_relative_l2,30,0.9358958748507592,0.9648498331479423,direct_scalar_int4,,
per_method,actual_update_distortion,jvp_predicted_cosine_distortion,30,0.9625076718719774,0.96440489432703,direct_scalar_int4,,
per_method,actual_polar_distortion,raw_relative_l2,300,-0.2818958890627834,-0.1954301714463494,direct_scalar_int4,,
per_method,actual_polar_distortion,right_gram_relative_fro,300,-0.4799237455047759,-0.44789786553183913,direct_scalar_int4,,
per_method,actual_polar_distortion,right_gram_relative_spectral,300,-0.3736074741950443,-0.27556128401426677,direct_scalar_int4,,
per_method,actual_polar_distortion,tail_angle,300,0.9240858181555902,0.9403220035778176,direct_scalar_int4,,
per_method,actual_polar_distortion,prior_gap_proxy,300,0.1588450236239371,0.9046278291981021,direct_scalar_int4,,
per_method,actual_polar_distortion,gap_skew_score,300,0.3772570277362138,0.9001233347037189,direct_scalar_int4,,
per_method,actual_polar_distortion,sigma_sum_skew_score,300,0.605496940630868,0.9856865076278625,direct_scalar_int4,,
per_method,actual_polar_distortion,finite_k_skew_score,300,0.9230580062456099,0.9941630462560694,direct_scalar_int4,,
per_method,actual_polar_distortion,frechet_relative_l2,300,0.9919986345649713,0.992406137845976,direct_scalar_int4,,
per_method,actual_polar_distortion,frechet_distortion_pred,300,0.994727220806546,0.9924194713274591,direct_scalar_int4,,
per_method,actual_polar_distortion,frozen_norm_frechet_distortion_pred,300,0.9947817223732831,0.9925839175990844,direct_scalar_int4,,
per_method,actual_polar_distortion,magnitude_only,300,0.8744360805656519,0.978079198444344,direct_scalar_int4,,
per_method,actual_polar_distortion,symmetric_only,300,0.9489132471791321,0.988626984744275,direct_scalar_int4,,
per_method,actual_polar_distortion,skew_only,300,0.9834932985859209,0.99415993511039,direct_scalar_int4,,
per_method,actual_polar_distortion,out_of_subspace_only,300,0.33734153820829194,0.1236184982358537,direct_scalar_int4,,
per_method,actual_polar_distortion,orientation_plus_outside,300,0.9825371040215641,0.9696787742086023,direct_scalar_int4,,
per_method,actual_polar_distortion,all_channels,300,0.9947272208007958,0.9924194713274591,direct_scalar_int4,,
per_method,actual_polar_distortion,jvp_output_relative_l2,30,0.939285537247652,0.9719688542825362,direct_scalar_int4,,
per_method,actual_polar_distortion,jvp_predicted_cosine_distortion,30,0.9610825756580436,0.971523915461624,direct_scalar_int4,,
per_method,actual_polar_distortion,exact_polar_pred_distortion,30,0.9722801392079132,0.957285873192436,direct_scalar_int4,,
per_shape,actual_update_distortion,raw_relative_l2,240,0.8785859521113294,0.8493914824910154,,"(1152, 384)",
per_shape,actual_update_distortion,right_gram_relative_fro,240,0.8083054890342899,0.8027101164950778,,"(1152, 384)",
