seed,update,parameter_id,shape,reference_method,raw_error_ratio_vq_over_reference,skew_channel_ratio_vq_over_reference,out_of_subspace_ratio_vq_over_reference,frechet_ratio_vq_over_reference,actual_distortion_ratio_vq_over_reference,polar_distortion_ratio_vq_over_reference,delta_actual_distortion,delta_frechet
1,512,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7516289481161149,0.5376518939078215,0.5276699567689216,0.7299180033143745,0.7995045715716107,0.8170064427108665,-0.08259189128875732,-0.46427738666534424
1,512,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7579768905050603,0.5458521628682148,0.0,0.7334607566411776,0.7930722494482293,0.8606693706502411,-0.08401459455490112,-0.4355776309967041
1,512,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8259867508049752,0.6138709133799122,0.5950170563082823,0.7738689372797458,0.7017700843144477,0.6788450988147335,-0.043148159980773926,-0.14821434020996094
1,512,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.82307675315468,0.620988841797493,0.6021608252535245,0.7781776395972623,0.7094571485417465,0.6895158454670599,-0.04212766885757446,-0.14668971300125122
1,512,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8385503769171361,0.6169285985834747,0.6144824772293869,0.7859775324137921,0.669810274314693,0.6602562275307771,-0.03282427787780762,-0.10302779078483582
1,1024,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7482723507371408,0.5369555850331412,0.5376636286284723,0.7335676955645412,0.7445206226622892,0.7464644536885484,-0.08152222633361816,-0.3295168876647949
1,1024,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.749205451487389,0.5361213905776264,0.0,0.7297368578630328,0.7657477240447624,0.826708429191932,-0.08394396305084229,-0.3803977966308594
1,1024,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8066949725159803,0.6094167902047427,0.5936636075495955,0.7745902461792022,0.6281007124352331,0.6243224429910031,-0.024642527103424072,-0.08301877975463867
1,1024,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8088291390843808,0.5931619311513968,0.6001594824668018,0.7759683654455181,0.6285355306217859,0.6236930324568798,-0.025005877017974854,-0.0831594467163086
1,1024,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8419820842650879,0.6212502575852702,0.6156767731937239,0.787131902744911,0.662865885305129,0.6607298808816603,-0.03190356492996216,-0.09747001528739929
1,1024,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7530586034447856,0.5231772771447488,0.5342459237572141,0.7285621141450779,0.7729460181838654,0.7719654241555859,-0.0799257755279541,-0.38436853885650635
1,1024,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7504491703649366,0.5363613165842742,0.0,0.732565275887756,0.7758452248053979,0.8496101243797497,-0.08454340696334839,-0.39754366874694824
1,1024,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8346864913881232,0.6350379669248291,0.6178941349513659,0.7907263991073027,0.6679985488412696,0.6619078584899664,-0.027927696704864502,-0.08987447619438171
1,1024,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8398476874274791,0.635377345683948,0.6213675624418923,0.7925396297794055,0.6737739095601825,0.6671561755130705,-0.02776557207107544,-0.0901593267917633
1,1024,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.863255630392031,0.6315796795890244,0.6307110146946956,0.7959326088001057,0.6886265336003635,0.6860037403321207,-0.03087770938873291,-0.09720844030380249
1,1024,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7505127319705346,0.5281178348796531,0.5350205544223362,0.7301352018825435,0.7063918473577647,0.7656208555138267,-0.08893251419067383,-0.29608720541000366
1,1024,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.8233331313506351,0.5527131459358795,0.0,0.7433939046165764,0.7552589753178759,0.8429009849945983,-0.08675271272659302,-0.33541709184646606
1,1024,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8282933686739825,0.6243850314926793,0.608087385174883,0.7835541526530814,0.6704505870912495,0.6650689004808591,-0.03248065710067749,-0.10421794652938843
1,1024,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8370699999657014,0.6293475734172643,0.6209697447759852,0.7912702113680147,0.6908005001616208,0.6820893349999809,-0.032042622566223145,-0.1047702431678772
1,1024,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8443586393872257,0.6249119298818099,0.6374996666216427,0.7980172284489107,0.6803563705668991,0.6782635052818078,-0.030749142169952393,-0.092745840549469
1,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7510834152664138,0.5400241102760983,0.5375430389358875,0.7337211103421419,0.7756424991069439,0.7946009134081758,-0.08336853981018066,-0.4006437063217163
1,1024,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7471514955236074,0.541647635618877,0.0,0.7335715333425423,0.779623607473328,0.8468889305071927,-0.08403229713439941,-0.40144944190979004
1,1024,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8305643764172858,0.6173910426197733,0.6066965832809003,0.7829335377426536,0.6909475920734294,0.6799487510020206,-0.033569931983947754,-0.11435368657112122
1,1024,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8401068408929402,0.6327427808886147,0.6156106341634404,0.7876226564441151,0.693940730645499,0.6854596955033636,-0.034159839153289795,-0.11386662721633911
1,1024,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8602168295300497,0.634852600573854,0.6377264129358213,0.8004817616367221,0.6849555550240258,0.6824449979442951,-0.029832899570465088,-0.0904502272605896
1,1024,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7589114610553225,0.5366374504404492,0.5430521072245152,0.7357991134306617,0.7560526566284621,0.7828020850246744,-0.08768093585968018,-0.359525203704834
1,1024,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.8252174240473797,0.5443287072624855,0.0,0.7375373132675548,0.7653131662256714,0.8233847014575619,-0.08294284343719482,-0.35317492485046387
1,1024,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8248368621470296,0.6232334551677524,0.5985046928738138,0.778075995384908,0.685954365704432,0.6766773194331517,-0.03612595796585083,-0.12157204747200012
1,1024,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8315542524224223,0.6194211922808691,0.614799059770399,0.7859129643103548,0.6970915497173378,0.6869345612494363,-0.03649437427520752,-0.12199509143829346
