seed,update,parameter_id,shape,method,out_of_subspace_delta_norm_sq,out_of_subspace_fraction,frechet_relative_l2
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,66.92805064434481,0.7737812687785427,0.5305058360099792
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,263.2764795314776,0.7798508588447147,1.0480824708938599
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,148.48450970976336,0.34653739829882474,1.3153941631317139
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,84.13341215251292,0.3468236727456878,0.9897380471229553
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,79.33721898771535,0.34658978149612907,0.9614373445510864
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,780.8573706560467,0.33650689482544205,3.06111216545105
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.299282431602478
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0,0.0,0.9861912727355957
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0,0.0,0.9498940706253052
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.0,0.0,3.264285087585449
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,155.6338304085418,0.8016045630293743,0.759117841720581
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_int4_k8,97.16671779112184,0.8157221049069039,0.5946000218391418
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,91.51523780254595,0.7972144279775478,0.5837090015411377
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,415.4059696218581,0.80308496470675,1.2390615940093994
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,159.7523203949817,0.8018776996233486,0.768620491027832
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_int4_k8,99.05511800433825,0.8121976483320055,0.6013814806938171
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,95.17235942839908,0.8002779139389556,0.5938509702682495
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,412.6716585044451,0.8025888661382984,1.2348045110702515
0,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,110.37012135205859,0.783760197644594,0.6733328700065613
0,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,83.93435692789073,0.7970338917439166,0.5822736620903015
0,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,67.12638309416165,0.7823629852705536,0.5255791544914246
0,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,335.41582814738206,0.7819118588782008,1.1751911640167236
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,285.4541039992712,0.6131833393276075,1.192132830619812
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,156.38656199019135,0.6140478582714126,0.881759762763977
