seed,update,parameter_id,shape,method,channel,delta_norm_sq,fraction_of_total_derivative_energy
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,symmetric,7.582996207208671,0.06935848546337095
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,skew,17.73261597036079,0.16219279996983432
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,out_of_subspace,83.42463343465869,0.7630501278458042
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,magnitude,0.28645724384271154,0.003419070127831831
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,symmetric,5.5654519601966514,0.06642761163840484
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,skew,12.70934735879858,0.1516950638628866
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,out_of_subspace,65.22160908448284,0.7784661065590792
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,magnitude,0.4974483334837376,0.007199053418327558
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,symmetric,5.024027182162774,0.07270753086300545
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,skew,11.306944265817135,0.16363366864175272
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,out_of_subspace,52.2710295345322,0.7564643572423921
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,magnitude,0.38481847092720517,0.0018657752024881032
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,symmetric,14.484141580964025,0.0702257148051544
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,skew,34.59612131284131,0.16773775201653437
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,out_of_subspace,156.7872837329755,0.7601761561746576
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,magnitude,1.5118214550595488,0.002332538910695061
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,symmetric,117.8831729421293,0.18187801666889372
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,skew,225.337232968624,0.34766530278337027
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,out_of_subspace,303.4127843647473,0.4681254675706576
