k,quantizer,seed,n,mean,weighted_mean,median,p10,p25,p75,p90,win_rate_vs_uniform
8,lloyd_per_tensor_oracle,1,150,0.7683751646677653,0.7864531873000993,0.8288286924362183,0.5946944355964661,0.6259558796882629,0.8816271424293518,0.9004248976707458,1.0
8,mulaw_mu_1,0,150,0.7294110973676046,0.7463167043747725,0.7818926572799683,0.5609961152076721,0.5972825884819031,0.8342487215995789,0.8647886514663696,1.0
8,mulaw_mu_1,1,150,0.7275624124209086,0.7454879629391211,0.7814047932624817,0.5551187992095947,0.5946764349937439,0.8396313786506653,0.869970977306366,1.0
8,mulaw_mu_100,0,150,0.6668004169066747,0.6850289399149241,0.7380738258361816,0.4743765592575073,0.5055513381958008,0.7910529375076294,0.8106889128684998,0.36
8,mulaw_mu_100,1,150,0.6669555149475733,0.6848979177022422,0.7339156866073608,0.4727105498313904,0.5131024718284607,0.7905170917510986,0.8088417649269104,0.36666666666666664
8,mulaw_mu_20,0,150,0.7413000329335531,0.7599363920313341,0.812956690788269,0.5515848994255066,0.5848566889762878,0.8601356148719788,0.8806904554367065,1.0
8,mulaw_mu_20,1,150,0.7405983014901479,0.7594858302562325,0.8093387186527252,0.5523381233215332,0.5948915481567383,0.8632028698921204,0.8809851408004761,1.0
8,mulaw_mu_2000,0,150,0.5909390060106913,0.6056277559863197,0.6315253674983978,0.443495512008667,0.47065889835357666,0.6871262788772583,0.7237858176231384,0.006666666666666667
8,mulaw_mu_2000,1,150,0.5892954204479853,0.6049355913367537,0.6310157477855682,0.440697580575943,0.46833255887031555,0.6903761625289917,0.7278828024864197,0.006666666666666667
8,mulaw_mu_5,0,150,0.7646695733070373,0.7824621138197404,0.8313470482826233,0.5865759253501892,0.6197392344474792,0.8749974966049194,0.895682692527771,1.0
8,mulaw_mu_5,1,150,0.7630493688583374,0.7815009224745962,0.8279535174369812,0.5897982716560364,0.6176490187644958,0.8760521411895752,0.8984344601631165,1.0
8,mulaw_mu_500,0,150,0.6022721427679062,0.6181452743157193,0.6580106317996979,0.436723917722702,0.4675155580043793,0.7067037224769592,0.7336458563804626,0.02
8,mulaw_mu_500,1,150,0.6019494404395421,0.6179541382248754,0.6567395627498627,0.43704432249069214,0.4687795042991638,0.705071210861206,0.7344205379486084,0.03333333333333333
8,muon_global_codebook,0,150,0.7269046453634898,0.7447166876108559,0.7879069149494171,0.549250602722168,0.5819063186645508,0.8402670621871948,0.8640881180763245,1.0
8,muon_global_codebook,1,150,0.7255536532402038,0.7440759525254921,0.7857738435268402,0.5505918860435486,0.5788283944129944,0.8398038744926453,0.8689366579055786,1.0
8,muon_mulaw_5,0,150,0.7646695733070373,0.7824621138197404,0.8313470482826233,0.5865759253501892,0.6197392344474792,0.8749974966049194,0.895682692527771,1.0
8,muon_mulaw_5,1,150,0.7630493688583374,0.7815009224745962,0.8279535174369812,0.5897982716560364,0.6176490187644958,0.8760521411895752,0.8984344601631165,1.0
8,muon_power_0.75,0,150,0.7385507114728291,0.7560134339663718,0.7972586154937744,0.5647835731506348,0.5996577739715576,0.8472067713737488,0.8721289038658142,1.0
8,muon_power_0.75,1,150,0.7370761319001515,0.7553170523157826,0.7956811189651489,0.5649496912956238,0.595661461353302,0.8488439917564392,0.8751735091209412,1.0
8,per_tensor_muon_codebook_oracle,0,20,0.7067657232284545,0.7227673940360546,0.7453683018684387,0.5442383885383606,0.5687012076377869,0.7863599061965942,0.8402670621871948,1.0
8,scale_oracle,0,150,0.8030882914861043,0.8192616703333678,0.8569222390651703,0.6383762359619141,0.6738585829734802,0.9004688262939453,0.9221593737602234,1.0
8,scale_oracle,1,150,0.8015679546197255,0.8187703824705548,0.8547718822956085,0.6407490968704224,0.6751990914344788,0.903181254863739,0.9226101636886597,1.0
8,structural_int4_uniform,0,150,0.8522519004344941,0.8667951710798122,0.9125085175037384,0.6936502456665039,0.7373571395874023,0.9413840174674988,0.9516377449035645,1.0
8,structural_int4_uniform,1,150,0.8513771684964498,0.8667043884043341,0.9093925058841705,0.7033155560493469,0.7330464124679565,0.9416982531547546,0.9534373879432678,1.0
8,uniform_int3,0,150,0.6774741099278132,0.6935035815117536,0.7215202152729034,0.5203074812889099,0.5521923899650574,0.7793715000152588,0.8160212635993958,0.0
8,uniform_int3,1,150,0.6750571362177531,0.6923035709946244,0.7233519852161407,0.5151543021202087,0.5506712198257446,0.785746157169342,0.8236600756645203,0.0
