seed,update,parameter_id,k,candidate,reference,match_type,raw_residual_l2_candidate,raw_residual_l2_reference,absolute_raw_l2_gap,update_cosine_gain_candidate_minus_reference,zero_fraction_candidate,zero_fraction_reference,zero_fraction_gap
1,128,transformer.h.0.attn.c_proj.weight,8,geometry_codebook_fine,lloyd_global,nearest_zero_fraction,0.2949438691139221,0.2692473530769348,0.025696516036987305,-0.019424080848693848,0.2941690981388092,0.2643025815486908,0.029866516590118408
1,128,transformer.h.0.attn.c_proj.weight,8,danger_zone_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.2913203537464142,0.28849533200263977,0.002825021743774414,-0.007609009742736816,0.3610297441482544,0.2078789621591568,0.1531507819890976
1,128,transformer.h.0.attn.c_proj.weight,8,danger_zone_codebook_fine,mulaw_mu_1,nearest_zero_fraction,0.2913203537464142,0.30516496300697327,0.013844609260559082,0.007033169269561768,0.3610297441482544,0.3543362021446228,0.006693542003631592
1,128,transformer.h.0.mlp.w1.weight,4,muon_global_codebook,mulaw_mu_20,nearest_raw_relative_l2,0.3624981939792633,0.36741504073143005,0.004916846752166748,-0.019538938999176025,0.4025980532169342,0.1438395231962204,0.2587585300207138
1,128,transformer.h.0.mlp.w1.weight,4,muon_global_codebook,lloyd_global,nearest_zero_fraction,0.3624981939792633,0.311250239610672,0.05124795436859131,-0.033368468284606934,0.4025980532169342,0.3602956235408783,0.04230242967605591
1,128,transformer.h.0.mlp.w1.weight,4,geometry_codebook,mulaw_mu_20,nearest_raw_relative_l2,0.3624981939792633,0.36741504073143005,0.004916846752166748,-0.019538938999176025,0.4025980532169342,0.1438395231962204,0.2587585300207138
1,128,transformer.h.0.mlp.w1.weight,4,geometry_codebook,lloyd_global,nearest_zero_fraction,0.3624981939792633,0.311250239610672,0.05124795436859131,-0.033368468284606934,0.4025980532169342,0.3602956235408783,0.04230242967605591
1,128,transformer.h.0.mlp.w1.weight,4,danger_zone_codebook,mulaw_mu_20,nearest_raw_relative_l2,0.3624981939792633,0.36741504073143005,0.004916846752166748,-0.019538938999176025,0.4025980532169342,0.1438395231962204,0.2587585300207138
1,128,transformer.h.0.mlp.w1.weight,4,danger_zone_codebook,lloyd_global,nearest_zero_fraction,0.3624981939792633,0.311250239610672,0.05124795436859131,-0.033368468284606934,0.4025980532169342,0.3602956235408783,0.04230242967605591
1,128,transformer.h.0.mlp.w1.weight,4,muon_global_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.3460215926170349,0.328691691160202,0.017329901456832886,-0.023434758186340332,0.4025980532169342,0.29075875878334045,0.11183929443359375
1,128,transformer.h.0.mlp.w1.weight,4,muon_global_codebook_fine,lloyd_global,nearest_zero_fraction,0.3460215926170349,0.311250239610672,0.034771353006362915,-0.022319436073303223,0.4025980532169342,0.3602956235408783,0.04230242967605591
1,128,transformer.h.0.mlp.w1.weight,4,geometry_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.3460215926170349,0.328691691160202,0.017329901456832886,-0.023434758186340332,0.4025980532169342,0.29075875878334045,0.11183929443359375
1,128,transformer.h.0.mlp.w1.weight,4,geometry_codebook_fine,lloyd_global,nearest_zero_fraction,0.3460215926170349,0.311250239610672,0.034771353006362915,-0.022319436073303223,0.4025980532169342,0.3602956235408783,0.04230242967605591
1,128,transformer.h.0.mlp.w1.weight,4,danger_zone_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.3460215926170349,0.328691691160202,0.017329901456832886,-0.023434758186340332,0.4025980532169342,0.29075875878334045,0.11183929443359375
1,128,transformer.h.0.mlp.w1.weight,4,danger_zone_codebook_fine,lloyd_global,nearest_zero_fraction,0.3460215926170349,0.311250239610672,0.034771353006362915,-0.022319436073303223,0.4025980532169342,0.3602956235408783,0.04230242967605591
1,128,transformer.h.0.mlp.w1.weight,8,muon_global_codebook,mulaw_mu_20,nearest_raw_relative_l2,0.3521592617034912,0.3642200529575348,0.012060791254043579,-0.012459278106689453,0.3828684389591217,0.1328277587890625,0.2500406801700592
