Kaggle preflight (physical GPU 1 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_vq_int3_4096_s1.json",
  "fingerprint": "c2b89e71ac438904e6cb8cf51605ea3308055a089c3db14072a05bd354e7fab1",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0",
  "recursive_codebook": "/kaggle/working/benchmark-experiments/reports/muon_vector_int3_robustness/calibration_codebooks.pt",
  "recursive_codebook_exists": true
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_vq_int3_4096_s1 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[eval] step 0 | val NLL 10.8639 | ppl 52255.50 | 65536 tokens
[train] 136/4096 | 1114112 tok | loss 6.4178 | lr 9.982e-04 | 1334.9 ms/update | 6137 tok/s
[train] 137/4096 | 1122304 tok | loss 6.5864 | lr 9.982e-04 | 1337.4 ms/update | 6125 tok/s
[train] 138/4096 | 1130496 tok | loss 6.3055 | lr 9.981e-04 | 1326.9 ms/update | 6174 tok/s
[train] 139/4096 | 1138688 tok | loss 6.8717 | lr 9.981e-04 | 1334.8 ms/update | 6137 tok/s
[train] 140/4096 | 1146880 tok | loss 6.5993 | lr 9.981e-04 | 1336.9 ms/update | 6128 tok/s
[train] 141/4096 | 1155072 tok | loss 6.1259 | lr 9.980e-04 | 1328.5 ms/update | 6166 tok/s
[train] 142/4096 | 1163264 tok | loss 6.3338 | lr 9.980e-04 | 1343.2 ms/update | 6099 tok/s
[train] 143/4096 | 1171456 tok | loss 6.5916 | lr 9.980e-04 | 1330.1 ms/update | 6159 tok/s
[train] 144/4096 | 1179648 tok | loss 6.5165 | lr 9.979e-04 | 1330.1 ms/update | 6159 tok/s
[train] 145/4096 | 1187840 tok | loss 6.6868 | lr 9.979e-04 | 1344.2 ms/update | 6094 tok/s
[train] 146/4096 | 1196032 tok | loss 6.7740 | lr 9.979e-04 | 1338.9 ms/update | 6119 tok/s
[train] 147/4096 | 1204224 tok | loss 6.8162 | lr 9.978e-04 | 1329.3 ms/update | 6163 tok/s
[train] 148/4096 | 1212416 tok | loss 6.7850 | lr 9.978e-04 | 1327.1 ms/update | 6173 tok/s
[train] 149/4096 | 1220608 tok | loss 6.7317 | lr 9.978e-04 | 1329.6 ms/update | 6161 tok/s
[train] 150/4096 | 1228800 tok | loss 6.2460 | lr 9.977e-04 | 1330.2 ms/update | 6158 tok/s
[train] 151/4096 | 1236992 tok | loss 6.5561 | lr 9.977e-04 | 1338.2 ms/update | 6121 tok/s
[train] 152/4096 | 1245184 tok | loss 6.6391 | lr 9.977e-04 | 1337.0 ms/update | 6127 tok/s
[train] 153/4096 | 1253376 tok | loss 6.6832 | lr 9.976e-04 | 1330.2 ms/update | 6159 tok/s
[train] 154/4096 | 1261568 tok | loss 6.6213 | lr 9.976e-04 | 1332.0 ms/update | 6150 tok/s
[train] 155/4096 | 1269760 tok | loss 6.7523 | lr 9.976e-04 | 1331.7 ms/update | 6152 tok/s
[train] 156/4096 | 1277952 tok | loss 7.0026 | lr 9.975e-04 | 1337.6 ms/update | 6125 tok/s
[train] 157/4096 | 1286144 tok | loss 6.4316 | lr 9.975e-04 | 1340.7 ms/update | 6110 tok/s
[train] 158/4096 | 1294336 tok | loss 6.5860 | lr 9.975e-04 | 1327.3 ms/update | 6172 tok/s
[train] 159/4096 | 1302528 tok | loss 6.4671 | lr 9.974e-04 | 1330.5 ms/update | 6157 tok/s
[train] 160/4096 | 1310720 tok | loss 6.2141 | lr 9.974e-04 | 1324.8 ms/update | 6184 tok/s
[train] 161/4096 | 1318912 tok | loss 6.2934 | lr 9.973e-04 | 1326.0 ms/update | 6178 tok/s
[train] 162/4096 | 1327104 tok | loss 6.4019 | lr 9.973e-04 | 1328.1 ms/update | 6168 tok/s
[train] 163/4096 | 1335296 tok | loss 6.4164 | lr 9.973e-04 | 1319.7 ms/update | 6208 tok/s
[train] 164/4096 | 1343488 tok | loss 6.6063 | lr 9.972e-04 | 1324.6 ms/update | 6184 tok/s
[train] 165/4096 | 1351680 tok | loss 6.5760 | lr 9.972e-04 | 1326.1 ms/update | 6178 tok/s
[train] 166/4096 | 1359872 tok | loss 6.2935 | lr 9.972e-04 | 1329.1 ms/update | 6164 tok/s
[train] 167/4096 | 1368064 tok | loss 6.4584 | lr 9.971e-04 | 1328.0 ms/update | 6169 tok/s
[train] 168/4096 | 1376256 tok | loss 6.6211 | lr 9.971e-04 | 1321.7 ms/update | 6198 tok/s
[train] 169/4096 | 1384448 tok | loss 6.5367 | lr 9.970e-04 | 1328.1 ms/update | 6168 tok/s
[train] 170/4096 | 1392640 tok | loss 6.2197 | lr 9.970e-04 | 1321.6 ms/update | 6199 tok/s
[train] 171/4096 | 1400832 tok | loss 6.5048 | lr 9.970e-04 | 1326.1 ms/update | 6178 tok/s
[train] 172/4096 | 1409024 tok | loss 6.5041 | lr 9.969e-04 | 1335.5 ms/update | 6134 tok/s
[train] 173/4096 | 1417216 tok | loss 6.3966 | lr 9.969e-04 | 1328.1 ms/update | 6168 tok/s
[train] 174/4096 | 1425408 tok | loss 6.6375 | lr 9.968e-04 | 1330.1 ms/update | 6159 tok/s
[train] 175/4096 | 1433600 tok | loss 6.5813 | lr 9.968e-04 | 1325.0 ms/update | 6183 tok/s
[train] 176/4096 | 1441792 tok | loss 6.5304 | lr 9.968e-04 | 1325.6 ms/update | 6180 tok/s
[train] 177/4096 | 1449984 tok | loss 6.5447 | lr 9.967e-04 | 1329.5 ms/update | 6162 tok/s
[train] 178/4096 | 1458176 tok | loss 6.4047 | lr 9.967e-04 | 1328.2 ms/update | 6168 tok/s
[train] 179/4096 | 1466368 tok | loss 6.0396 | lr 9.966e-04 | 1333.6 ms/update | 6143 tok/s
[train] 180/4096 | 1474560 tok | loss 6.3960 | lr 9.966e-04 | 1332.3 ms/update | 6149 tok/s
[train] 181/4096 | 1482752 tok | loss 6.3348 | lr 9.965e-04 | 1319.7 ms/update | 6207 tok/s
[train] 182/4096 | 1490944 tok | loss 6.5190 | lr 9.965e-04 | 1332.0 ms/update | 6150 tok/s
[train] 183/4096 | 1499136 tok | loss 6.2750 | lr 9.965e-04 | 1324.6 ms/update | 6185 tok/s
[train] 184/4096 | 1507328 tok | loss 6.2841 | lr 9.964e-04 | 1330.3 ms/update | 6158 tok/s
[train] 185/4096 | 1515520 tok | loss 6.8291 | lr 9.964e-04 | 1330.8 ms/update | 6156 tok/s
[train] 186/4096 | 1523712 tok | loss 6.5052 | lr 9.963e-04 | 1332.5 ms/update | 6148 tok/s
[train] 187/4096 | 1531904 tok | loss 6.1904 | lr 9.963e-04 | 1344.2 ms/update | 6094 tok/s
[train] 188/4096 | 1540096 tok | loss 6.1854 | lr 9.962e-04 | 1327.3 ms/update | 6172 tok/s
[train] 189/4096 | 1548288 tok | loss 6.4448 | lr 9.962e-04 | 1330.2 ms/update | 6158 tok/s
[train] 190/4096 | 1556480 tok | loss 6.2578 | lr 9.961e-04 | 1334.0 ms/update | 6141 tok/s
[train] 191/4096 | 1564672 tok | loss 6.5156 | lr 9.961e-04 | 1334.9 ms/update | 6137 tok/s
[train] 192/4096 | 1572864 tok | loss 6.4885 | lr 9.961e-04 | 1329.7 ms/update | 6161 tok/s
